scrutin,Gauche démocrate et républicaine - NUPES,La France insoumise - Nouvelle Union Populaire écologique et sociale,Socialistes et apparentés (membre de l’intergroupe NUPES),Écologiste - NUPES,alignement
VTANR5L16V19,contre,abstention,contre,contre,False
VTANR5L16V202,pour,pour,pour,abstention,False
VTANR5L16V204,abstention,abstention,pour,pour,False
VTANR5L16V207,pour,abstention,abstention,abstention,False
VTANR5L16V213,contre,,contre,contre,False
VTANR5L16V221,contre,contre,abstention,contre,False
VTANR5L16V222,contre,abstention,,contre,False
VTANR5L16V223,contre,abstention,abstention,abstention,False
VTANR5L16V224,abstention,pour,pour,pour,False
VTANR5L16V226,pour,pour,,pour,False
VTANR5L16V227,,contre,pour,contre,False
VTANR5L16V23,abstention,abstention,pour,abstention,False
VTANR5L16V233,pour,pour,pour,,False
VTANR5L16V251,contre,contre,pour,contre,False
VTANR5L16V255,abstention,abstention,contre,pour,False
VTANR5L16V262,abstention,abstention,pour,abstention,False
VTANR5L16V266,contre,abstention,contre,contre,False
VTANR5L16V267,pour,abstention,contre,pour,False
VTANR5L16V272,pour,abstention,contre,pour,False
VTANR5L16V275,,abstention,abstention,contre,False
VTANR5L16V276,abstention,pour,contre,abstention,False
VTANR5L16V280,abstention,abstention,pour,abstention,False
VTANR5L16V284,pour,abstention,abstention,pour,False
VTANR5L16V288,abstention,,abstention,contre,False
VTANR5L16V296,contre,abstention,,,False
VTANR5L16V297,contre,abstention,,,False
VTANR5L16V298,contre,contre,,contre,False
VTANR5L16V299,contre,contre,,contre,False
VTANR5L16V3,pour,pour,contre,pour,False
VTANR5L16V30,abstention,abstention,contre,contre,False
VTANR5L16V300,abstention,contre,pour,contre,False
VTANR5L16V303,pour,pour,pour,abstention,False
VTANR5L16V304,pour,abstention,pour,pour,False
VTANR5L16V305,pour,abstention,contre,pour,False
VTANR5L16V310,,abstention,,contre,False
VTANR5L16V314,contre,abstention,contre,contre,False
VTANR5L16V33,contre,contre,abstention,abstention,False
VTANR5L16V334,contre,abstention,contre,contre,False
VTANR5L16V338,contre,contre,abstention,contre,False
VTANR5L16V339,contre,abstention,pour,contre,False
VTANR5L16V34,pour,pour,abstention,pour,False
VTANR5L16V340,contre,contre,pour,abstention,False
VTANR5L16V343,,contre,contre,contre,False
VTANR5L16V344,,contre,contre,contre,False
