uid,objet,type,date,seance,sort,identiques,amendement,sous_amendement,cr,url_scrutin,url_seance
VTANR5L16V3193,"l'amendement n° 21 de Mme Le Pen après l'article premier de la proposition de loi constitutionnelle relative à la souveraineté de la France, à la nationalité, à l’immigration et à l’asile (première lecture).",scrutin public ordinaire,2023-12-07,RUANR5L16S2024IDS27904,rejeté,False,True,False,CRSANR5L16S2024O1N079,https://www2.assemblee-nationale.fr/scrutins/detail/(legislature)/16/(num)/3193,https://www.assemblee-nationale.fr/dyn/16/comptes-rendus/seance/CRSANR5L16S2024O1N079
VTANR5L16V3585,l'amendement n° 120 de M. Jacobelli après l'article 4 de la proposition de loi visant à prévenir les ingérences étrangères en France (première lecture).,scrutin public ordinaire,2024-03-27,RUANR5L16S2024IDS28182,rejeté,False,True,False,CRSANR5L16S2024O1N160,https://www2.assemblee-nationale.fr/scrutins/detail/(legislature)/16/(num)/3585,https://www.assemblee-nationale.fr/dyn/16/comptes-rendus/seance/CRSANR5L16S2024O1N160
VTANR5L16V845,l'amendement n° 24 de M. de Fournas après l'article premier de la proposition de loi visant à sécuriser l'approvisionnement des Français en produits de grande consommation (première lecture).,scrutin public ordinaire,2023-01-18,RUANR5L16S2023IDS26691,rejeté,False,True,False,CRSANR5L16S2023O1N121,https://www2.assemblee-nationale.fr/scrutins/detail/(legislature)/16/(num)/845,https://www.assemblee-nationale.fr/dyn/16/comptes-rendus/seance/CRSANR5L16S2023O1N121
VTANR5L16V3711,la proposition de résolution portant sur l'usage de la langue française aux jeux Olympiques et Paralympiques de Paris en 2024 (art. 34-1 de la Constitution).,scrutin public ordinaire,2024-05-02,RUANR5L16S2024IDS28261,adopté,False,False,False,CRSANR5L16S2024O1N182,https://www2.assemblee-nationale.fr/scrutins/detail/(legislature)/16/(num)/3711,https://www.assemblee-nationale.fr/dyn/16/comptes-rendus/seance/CRSANR5L16S2024O1N182
VTANR5L16V2660,l'amendement n° 444 de Mme Perrine Goulet à l'article premier du projet de loi visant à sécuriser et réguler l'espace numérique (première lecture).,scrutin public ordinaire,2023-10-05,RUANR5L16S2024IDS27615,adopté,False,True,False,CRSANR5L16S2024O1N007,https://www2.assemblee-nationale.fr/scrutins/detail/(legislature)/16/(num)/2660,https://www.assemblee-nationale.fr/dyn/16/comptes-rendus/seance/CRSANR5L16S2024O1N007
VTANR5L16V3485,l'amendement n° 281 de M. Dragon à l'article 7 du projet de loi relatif à l'organisation de la gouvernance de la sûreté nucléaire et de la radioprotection pour répondre au défi de la relance de la filière nucléaire (première lecture).,scrutin public ordinaire,2024-03-13,RUANR5L16S2024IDS28145,rejeté,False,True,False,CRSANR5L16S2024O1N147,https://www2.assemblee-nationale.fr/scrutins/detail/(legislature)/16/(num)/3485,https://www.assemblee-nationale.fr/dyn/16/comptes-rendus/seance/CRSANR5L16S2024O1N147
VTANR5L16V4060,l'amendement n° 3336 de M. de Lépinau à l'article 5 du projet de loi relatif à l'accompagnement des malades et de la fin de vie (première lecture).,scrutin public ordinaire,2024-06-05,RUANR5L16S2024IDS28422,rejeté,False,True,False,CRSANR5L16S2024O1N229,https://www2.assemblee-nationale.fr/scrutins/detail/(legislature)/16/(num)/4060,https://www.assemblee-nationale.fr/dyn/16/comptes-rendus/seance/CRSANR5L16S2024O1N229
VTANR5L16V1384,l'amendement n° 24 de Mme Parmentier après l'article 3 de la proposition de loi visant à mieux manger en soutenant les Français face à l'inflation et en favorisant l'accès à une alimentation saine (première lecture).,scrutin public ordinaire,2023-04-06,RUANR5L16S2023IDS26967,rejeté,False,True,False,CRSANR5L16S2023O1N207,https://www2.assemblee-nationale.fr/scrutins/detail/(legislature)/16/(num)/1384,https://www.assemblee-nationale.fr/dyn/16/comptes-rendus/seance/CRSANR5L16S2023O1N207
VTANR5L16V3696,l'amendement n° 95 de M. Jean-Philippe Tanguy après l'article 14 de la proposition de loi visant à accroître le financement des entreprises et l’attractivité de la France (première lecture).,scrutin public ordinaire,2024-04-10,RUANR5L16S2024IDS28227,rejeté,False,True,False,CRSANR5L16S2024O1N177,https://www2.assemblee-nationale.fr/scrutins/detail/(legislature)/16/(num)/3696,https://www.assemblee-nationale.fr/dyn/16/comptes-rendus/seance/CRSANR5L16S2024O1N177
VTANR5L16V404,l'amendement n° 1892 de Mme Lechanteux à l'article 27 et État B de la seconde partie du projet de loi de finances pour 2023 (première lecture) - Mission Justice,scrutin public ordinaire,2022-10-27,RUANR5L16S2023IDS26418,rejeté,False,True,False,CRSANR5L16S2023O1N036,https://www2.assemblee-nationale.fr/scrutins/detail/(legislature)/16/(num)/404,https://www.assemblee-nationale.fr/dyn/16/comptes-rendus/seance/CRSANR5L16S2023O1N036
