scrutin,Gauche démocrate et républicaine - NUPES,La France insoumise - Nouvelle Union Populaire écologique et sociale,Socialistes et apparentés (membre de l’intergroupe NUPES),Écologiste - NUPES,alignement
VTANR5L16V13,contre,contre,abstention,contre,False
VTANR5L16V130,pour,abstention,pour,contre,False
VTANR5L16V1300,pour,pour,pour,pour,True
VTANR5L16V1301,,,,contre,False
VTANR5L16V1302,pour,pour,pour,pour,True
VTANR5L16V1303,pour,pour,pour,pour,True
VTANR5L16V1304,,,abstention,abstention,False
VTANR5L16V1305,abstention,contre,abstention,contre,False
VTANR5L16V1306,contre,,pour,pour,False
VTANR5L16V1307,pour,pour,pour,pour,True
VTANR5L16V1308,pour,abstention,pour,pour,False
VTANR5L16V1309,,pour,pour,pour,False
VTANR5L16V131,pour,pour,pour,pour,True
VTANR5L16V1310,,,,pour,False
VTANR5L16V1311,pour,pour,pour,pour,True
VTANR5L16V1312,pour,pour,pour,pour,True
VTANR5L16V1313,pour,abstention,pour,pour,False
VTANR5L16V1314,pour,abstention,pour,pour,False
VTANR5L16V1315,pour,abstention,pour,pour,False
VTANR5L16V1316,pour,pour,pour,pour,True
VTANR5L16V1317,pour,pour,pour,pour,True
VTANR5L16V1318,contre,contre,contre,contre,True
VTANR5L16V1319,pour,pour,pour,pour,True
VTANR5L16V132,pour,pour,pour,pour,True
VTANR5L16V1320,contre,contre,,contre,False
VTANR5L16V1321,contre,contre,contre,contre,True
VTANR5L16V1322,contre,contre,contre,contre,True
VTANR5L16V1323,contre,contre,contre,contre,True
VTANR5L16V1324,contre,contre,contre,contre,True
VTANR5L16V1325,contre,contre,contre,contre,True
VTANR5L16V1326,contre,contre,contre,contre,True
VTANR5L16V1327,pour,pour,pour,pour,True
VTANR5L16V1328,contre,contre,contre,contre,True
VTANR5L16V1329,contre,contre,,contre,False
VTANR5L16V133,pour,pour,pour,pour,True
VTANR5L16V1330,contre,contre,contre,contre,True
VTANR5L16V1331,contre,contre,contre,contre,True
VTANR5L16V1332,contre,abstention,abstention,abstention,False
VTANR5L16V1333,pour,pour,pour,pour,True
VTANR5L16V1334,contre,contre,contre,contre,True
VTANR5L16V1335,pour,pour,pour,pour,True
VTANR5L16V1336,contre,contre,contre,contre,True
VTANR5L16V1337,pour,pour,pour,pour,True
VTANR5L16V1338,contre,contre,contre,contre,True
VTANR5L16V1339,,pour,pour,contre,False
VTANR5L16V134,pour,pour,pour,abstention,False
VTANR5L16V1340,,pour,pour,pour,False
VTANR5L16V1341,pour,pour,pour,,False
VTANR5L16V1342,pour,pour,pour,,False
VTANR5L16V1343,pour,pour,pour,pour,True
VTANR5L16V1344,contre,contre,contre,contre,True
VTANR5L16V1345,pour,pour,pour,pour,True
VTANR5L16V1346,abstention,pour,pour,pour,False
VTANR5L16V1347,pour,pour,pour,,False
VTANR5L16V1348,,pour,pour,,False
VTANR5L16V1349,,pour,pour,,False
VTANR5L16V135,pour,pour,pour,abstention,False
VTANR5L16V1350,,contre,contre,,False
VTANR5L16V1351,,pour,pour,,False
VTANR5L16V1352,,pour,pour,pour,False
VTANR5L16V1353,,pour,pour,pour,False
VTANR5L16V1354,,pour,pour,pour,False
VTANR5L16V1355,,abstention,pour,,False
VTANR5L16V1356,,pour,pour,pour,False
VTANR5L16V1357,,pour,pour,abstention,False
VTANR5L16V1358,,pour,contre,,False
VTANR5L16V1359,,contre,contre,,False
VTANR5L16V136,pour,pour,pour,abstention,False
VTANR5L16V1360,,pour,pour,,False
VTANR5L16V1361,contre,contre,contre,contre,True
VTANR5L16V1362,contre,contre,contre,contre,True
VTANR5L16V1363,contre,contre,contre,contre,True
VTANR5L16V1364,contre,,contre,contre,False
VTANR5L16V1365,contre,contre,contre,contre,True
VTANR5L16V1366,contre,contre,contre,contre,True
VTANR5L16V1367,pour,pour,pour,pour,True
VTANR5L16V1368,pour,pour,pour,pour,True
VTANR5L16V1369,contre,,contre,contre,False
VTANR5L16V137,pour,pour,pour,pour,True
VTANR5L16V1370,pour,pour,pour,pour,True
VTANR5L16V1371,contre,,contre,contre,False
VTANR5L16V1372,pour,pour,pour,pour,True
VTANR5L16V1373,pour,pour,pour,pour,True
VTANR5L16V1374,pour,pour,pour,pour,True
VTANR5L16V1375,contre,,contre,contre,False
VTANR5L16V1376,contre,contre,contre,contre,True
VTANR5L16V1377,pour,pour,pour,pour,True
VTANR5L16V1378,pour,pour,pour,pour,True
VTANR5L16V1379,pour,pour,pour,pour,True
VTANR5L16V138,pour,pour,pour,pour,True
VTANR5L16V1380,pour,pour,pour,pour,True
VTANR5L16V1381,pour,pour,pour,pour,True
VTANR5L16V1382,contre,contre,contre,contre,True
VTANR5L16V1383,pour,pour,pour,pour,True
VTANR5L16V1384,contre,contre,contre,contre,True
VTANR5L16V1385,pour,pour,pour,pour,True
VTANR5L16V1386,pour,pour,pour,pour,True
VTANR5L16V1387,pour,pour,pour,pour,True
VTANR5L16V1388,contre,contre,contre,contre,True
VTANR5L16V1389,pour,pour,pour,pour,True
VTANR5L16V139,pour,pour,pour,pour,True
VTANR5L16V1390,pour,pour,pour,pour,True
VTANR5L16V1391,pour,pour,pour,pour,True
VTANR5L16V1392,contre,,,abstention,False
VTANR5L16V1393,pour,pour,pour,pour,True
VTANR5L16V1394,pour,pour,pour,pour,True
VTANR5L16V1395,abstention,pour,pour,pour,False
VTANR5L16V1396,contre,contre,contre,contre,True
VTANR5L16V1397,,pour,pour,pour,False
VTANR5L16V1398,pour,pour,pour,pour,True
VTANR5L16V1399,pour,pour,pour,pour,True
