acteurRef,scrutin,nom,libelleAbrev
PA794130,2,Kerbrat,LFI-NUPES
PA718710,2,Boyer,RE
PA794118,2,Vermorel-Marques,LR
PA721916,2,Pouzyreff,RE
PA795068,2,Chassaniol,RE
PA794066,2,Mathieu,LFI-NUPES
PA643184,2,Klinkert,RE
PA794022,2,Iordanoff,ECOLO
PA793992,2,Alfandari,HOR
PA795920,2,Thevenot,RE
PA793872,2,Oziol,LFI-NUPES
PA722162,2,Turquois,DEM
PA795430,2,Delautrette,SOC
PA722284,2,Fuchs,DEM
PA722336,2,Thiébaut,HOR
PA722366,2,Fugit,RE
PA721062,2,Ratenon,LFI-NUPES
PA719488,2,Berta,DEM
PA793688,2,Martin,LFI-NUPES
PA720754,2,Studer,RE
PA720900,1,Rilhac,RE
PA795482,1,Meunier,LFI-NUPES
PA795422,1,Maudet,LFI-NUPES
PA795808,1,Sebaihi,ECOLO
PA795588,1,Amrani,LFI-NUPES
PA795596,1,Vannier,LFI-NUPES
PA720256,1,Bannier,DEM
PA796106,1,Bénard,GDR-NUPES
PA796090,1,Caron,LFI-NUPES
PA796062,1,Portes,LFI-NUPES
PA720162,1,Bolo,DEM
PA795990,1,Bregeon,RE
PA605963,1,Alauzet,RE
PA795958,1,Haddad,RE
PA795950,1,Amiel,RE
PA720422,1,Quatennens,NI
PA1567,1,Guedj,SOC
PA795884,1,Ferracci,RE
PA795868,1,Castor,GDR-NUPES
PA795864,1,Cazeneuve,RE
PA795828,1,Hajjar,SOC
PA795774,1,Dordain,RE
PA795722,1,Olive,RE
PA795692,1,Martinet,LFI-NUPES
PA642764,1,Aviragnet,SOC
PA795362,1,Belluco,ECOLO
PA793110,1,Walter,LFI-NUPES
PA795310,1,Guetté,LFI-NUPES
PA794154,1,Raux,ECOLO
PA719338,1,Melchior,RE
PA719372,1,Kasbarian,RE
PA719388,1,Le Meur,RE
PA267306,1,Chassaigne,GDR-NUPES
PA722142,1,Ruffin,LFI-NUPES
PA793876,1,Cristol,RE
PA719412,1,Le Feur,RE
PA722358,1,Gassilloud,RE
PA722374,1,Isaac-Sibille,DEM
PA793680,1,Couturier,LFI-NUPES
PA793664,1,Pochon,ECOLO
PA722382,1,Dirx,RE
PA333285,1,Garot,SOC
PA793532,1,Lepvraud,LFI-NUPES
PA793528,1,Bouloux,RE
PA722398,1,Rebeyrotte,RE
PA267780,1,Firmin Le Bodo,HOR
PA736201,1,Taillé-Polian,ECOLO
PA793464,1,Delogu,LFI-NUPES
PA757225,1,Seo,RE
PA607395,1,Travert,RE
PA774962,1,Lebon,GDR-NUPES
PA719718,1,Maillart-Méhaignerie,RE
PA721880,1,Guévenoux,RE
PA794166,1,Tavel,LFI-NUPES
PA795298,1,Legavre,LFI-NUPES
PA794214,1,Bataillon,RE
PA721004,1,Lakrafi,RE
PA795240,1,Reid Arbelot,GDR-NUPES
PA721094,1,Dunoyer,RE
PA795200,1,Dufour,LFI-NUPES
PA795192,1,Chailloux,GDR-NUPES
PA721150,1,Holroyd,RE
PA795124,1,Padey,DEM
PA795076,1,Rousseau,ECOLO
PA721158,1,Anglade,RE
PA720054,1,Haury,RE
PA795046,1,Yadan,RE
PA794930,1,Tanzilli,RE
PA721270,1,Peu,GDR-NUPES
PA643048,1,Lanlo,RE
PA718962,1,Zulesi,RE
PA721328,1,Brugnera,RE
PA794798,1,Buffet,RE
PA335999,1,Batho,ECOLO
PA721458,1,Roseren,RE
PA794486,1,Spillebout,RE
PA721750,1,Calvez,RE
PA794278,1,Albertini,HOR
PA719154,1,Martin,RE
PA793940,1,Cazenave,RE
