acteurRef,mandatRef,parDelegation,position,organe,date,scrutin,groupe_majorite,nom,prenom,civ,libelleAbrev
PA793342,PM796269,False,pour,PO800508,2023-07-10,VTANR5L16V2202,pour,Martin (Alpes-Maritimes),Alexandra,Mme,LR
PA267429,PM796722,False,pour,PO800508,2023-06-19,VTANR5L16V1902,pour,Cinieri,Dino,M.,LR
PA332523,PM796683,True,pour,PO800508,2023-06-19,VTANR5L16V1902,pour,Dalloz,Marie-Christine,Mme,LR
PA721410,PM797316,False,pour,PO800508,2023-06-19,VTANR5L16V1902,pour,Bonnivard,Émilie,Mme,LR
PA719608,PM796593,False,pour,PO793087,2023-06-19,VTANR5L16V1902,pour,Ménard,Emmanuelle,Mme,NI
PA1206,PM797637,False,pour,PO793087,2023-03-29,VTANR5L16V1324,pour,Dupont-Aignan,Nicolas,M.,NI
PA719608,PM796593,False,pour,PO793087,2023-03-29,VTANR5L16V1324,pour,Ménard,Emmanuelle,Mme,NI
PA267429,PM796722,False,pour,PO800508,2023-06-19,VTANR5L16V1900,pour,Cinieri,Dino,M.,LR
PA332523,PM796683,True,pour,PO800508,2023-06-19,VTANR5L16V1900,pour,Dalloz,Marie-Christine,Mme,LR
PA721410,PM797316,False,pour,PO800508,2023-06-19,VTANR5L16V1900,pour,Bonnivard,Émilie,Mme,LR
PA608016,PM797100,False,pour,PO800508,2023-06-19,VTANR5L16V1900,pour,Louwagie,Véronique,Mme,LR
PA719608,PM796593,False,pour,PO793087,2023-06-19,VTANR5L16V1900,pour,Ménard,Emmanuelle,Mme,NI
PA643143,PM797646,False,pour,PO800496,2022-11-24,VTANR5L16V631,pour,Baptiste,Christian,M.,SOC
PA795762,PM797670,False,pour,PO800496,2022-11-24,VTANR5L16V631,pour,Califer,Elie,M.,SOC
PA607619,PM796890,False,pour,PO800532,2022-11-24,VTANR5L16V631,pour,Molac,Paul,M.,LIOT
PA719286,PM796353,False,pour,PO800532,2022-11-24,VTANR5L16V631,pour,Colombani,Paul-André,M.,LIOT
PA720976,PM797667,False,pour,PO800532,2022-11-24,VTANR5L16V631,pour,Mathiasin,Max,M.,LIOT
PA605963,PM796494,False,pour,PO800538,2022-07-19,VTANR5L16V29,contre,Alauzet,Éric,M.,RE
PA793452,PM796332,False,pour,PO800490,2022-07-19,VTANR5L16V29,contre,Davi,Hendrik,M.,LFI-NUPES
PA794066,PM796689,False,pour,PO800490,2022-07-19,VTANR5L16V29,contre,Mathieu,Frédéric,M.,LFI-NUPES
PA267429,PM796722,False,pour,PO800508,2022-07-19,VTANR5L16V29,pour,Cinieri,Dino,M.,LR
PA608826,PM797256,False,pour,PO800508,2022-07-19,VTANR5L16V29,pour,Duby-Muller,Virginie,Mme,LR
PA607090,PM796761,False,pour,PO800508,2022-07-19,VTANR5L16V29,pour,Vigier,Jean-Pierre,M.,LR
PA718784,PM796266,False,pour,PO800508,2022-07-19,VTANR5L16V29,pour,Pauget,Éric,M.,LR
PA719318,PM796470,False,pour,PO800508,2022-07-19,VTANR5L16V29,pour,Anthoine,Emmanuelle,Mme,LR
PA642847,PM796872,False,pour,PO800508,2022-07-19,VTANR5L16V29,pour,Bazin,Thibault,M.,LR
PA720630,PM797094,False,pour,PO800508,2022-07-19,VTANR5L16V29,pour,Minot,Maxime,M.,LR
PA793476,PM796344,False,pour,PO800508,2022-07-19,VTANR5L16V29,pour,Dubois,Francis,M.,LR
PA722308,PM797229,False,pour,PO800508,2022-07-19,VTANR5L16V29,pour,Serre,Nathalie,Mme,LR
PA774954,PM796797,False,pour,PO800508,2022-07-19,VTANR5L16V29,pour,Blin,Anne-Laure,Mme,LR
PA643157,PM797763,False,pour,PO800496,2022-07-19,VTANR5L16V29,contre,Naillet,Philippe,M.,SOC
PA719608,PM796593,False,pour,PO793087,2022-07-19,VTANR5L16V29,abstention,Ménard,Emmanuelle,Mme,NI
PA330008,PM796158,False,pour,PO800508,2023-03-22,VTANR5L16V1265,pour,Breton,Xavier,M.,LR
PA720720,PM797076,False,pour,PO800484,2023-07-20,VTANR5L16V2416,contre,Poueyto,Josy,Mme,DEM
PA795998,PM797796,False,pour,PO800502,2023-10-05,VTANR5L16V2655,pour,K/Bidi,Emeline,Mme,GDR-NUPES
PA330240,PM796155,False,pour,PO800508,2023-03-07,VTANR5L16V1135,pour,Ciotti,Éric,M.,LR
PA606098,PM796449,False,pour,PO800508,2023-03-07,VTANR5L16V1135,pour,Marleix,Olivier,M.,LR
PA332523,PM796683,False,pour,PO800508,2023-03-07,VTANR5L16V1135,pour,Dalloz,Marie-Christine,Mme,LR
PA718884,PM796218,False,pour,PO800508,2023-03-07,VTANR5L16V1135,pour,Bazin-Malgras,Valérie,Mme,LR
