,Démocrate (MoDem et Indépendants),Gauche démocrate et républicaine - NUPES,Horizons et apparentés,La France insoumise - Nouvelle Union Populaire écologique et sociale,Les Républicains,"Libertés, Indépendants, Outre-mer et Territoires",Non inscrit,Rassemblement National,Renaissance,Socialistes et apparentés (membre de l’intergroupe NUPES),Écologiste - NUPES
VTANR5L16V236,gagné,perdu,gagné,perdu,gagné,perdu,perdu,perdu,gagné,perdu,perdu
VTANR5L16V237,gagné,perdu,gagné,perdu,gagné,gagné,gagné,perdu,gagné,perdu,perdu
VTANR5L16V238,perdu,gagné,perdu,gagné,gagné,perdu,gagné,gagné,perdu,gagné,gagné
VTANR5L16V239,gagné,perdu,gagné,perdu,pas joué,perdu,perdu,perdu,gagné,perdu,perdu
VTANR5L16V24,gagné,perdu,gagné,perdu,pas joué,gagné,perdu,perdu,gagné,perdu,perdu
VTANR5L16V240,perdu,gagné,perdu,gagné,gagné,gagné,gagné,gagné,perdu,gagné,gagné
VTANR5L16V241,gagné,perdu,gagné,perdu,pas joué,perdu,perdu,perdu,gagné,perdu,perdu
VTANR5L16V242,perdu,gagné,perdu,gagné,gagné,gagné,gagné,gagné,perdu,gagné,gagné
VTANR5L16V243,gagné,perdu,gagné,perdu,gagné,perdu,perdu,perdu,gagné,perdu,perdu
VTANR5L16V244,perdu,gagné,perdu,gagné,gagné,gagné,perdu,gagné,perdu,gagné,gagné
VTANR5L16V245,gagné,perdu,gagné,perdu,gagné,perdu,perdu,perdu,gagné,perdu,perdu
VTANR5L16V246,perdu,gagné,perdu,gagné,perdu,gagné,pas joué,gagné,perdu,gagné,gagné
VTANR5L16V247,perdu,gagné,perdu,gagné,perdu,gagné,gagné,gagné,perdu,gagné,gagné
VTANR5L16V248,gagné,perdu,gagné,perdu,gagné,perdu,pas joué,perdu,gagné,perdu,perdu
VTANR5L16V249,perdu,gagné,perdu,gagné,perdu,gagné,gagné,gagné,perdu,gagné,gagné
VTANR5L16V25,gagné,perdu,gagné,perdu,gagné,gagné,perdu,pas joué,gagné,perdu,perdu
VTANR5L16V250,perdu,gagné,perdu,gagné,gagné,gagné,gagné,gagné,perdu,gagné,gagné
VTANR5L16V251,gagné,perdu,gagné,perdu,gagné,perdu,pas joué,perdu,gagné,gagné,perdu
VTANR5L16V252,gagné,perdu,gagné,perdu,gagné,perdu,perdu,perdu,gagné,perdu,perdu
VTANR5L16V253,gagné,gagné,gagné,gagné,perdu,perdu,perdu,perdu,gagné,gagné,gagné
VTANR5L16V254,perdu,gagné,perdu,gagné,gagné,gagné,gagné,gagné,perdu,gagné,gagné
VTANR5L16V255,gagné,pas joué,gagné,pas joué,gagné,perdu,pas joué,perdu,gagné,gagné,perdu
VTANR5L16V256,gagné,perdu,gagné,perdu,gagné,perdu,pas joué,perdu,gagné,perdu,perdu
VTANR5L16V257,gagné,perdu,gagné,perdu,gagné,perdu,pas joué,perdu,gagné,perdu,perdu
VTANR5L16V258,gagné,gagné,gagné,gagné,perdu,perdu,perdu,perdu,gagné,gagné,gagné
VTANR5L16V259,gagné,gagné,gagné,gagné,perdu,perdu,perdu,perdu,gagné,gagné,gagné
VTANR5L16V26,gagné,perdu,gagné,perdu,gagné,gagné,perdu,pas joué,gagné,perdu,perdu
VTANR5L16V260,gagné,gagné,gagné,gagné,perdu,perdu,perdu,perdu,gagné,gagné,gagné
VTANR5L16V261,gagné,perdu,gagné,perdu,gagné,perdu,perdu,pas joué,gagné,perdu,perdu
VTANR5L16V262,gagné,pas joué,gagné,pas joué,gagné,gagné,gagné,gagné,gagné,gagné,pas joué
VTANR5L16V263,gagné,gagné,gagné,gagné,pas joué,gagné,gagné,perdu,gagné,gagné,gagné
VTANR5L16V264,gagné,gagné,gagné,gagné,pas joué,pas joué,perdu,perdu,gagné,gagné,gagné
VTANR5L16V265,gagné,gagné,gagné,gagné,gagné,gagné,perdu,perdu,gagné,gagné,gagné
VTANR5L16V266,gagné,gagné,gagné,pas joué,gagné,gagné,perdu,perdu,gagné,gagné,gagné
VTANR5L16V267,gagné,perdu,gagné,pas joué,pas joué,perdu,perdu,perdu,gagné,gagné,perdu
VTANR5L16V268,perdu,gagné,perdu,gagné,gagné,gagné,gagné,gagné,perdu,gagné,gagné
VTANR5L16V269,gagné,gagné,pas joué,gagné,perdu,gagné,perdu,gagné,perdu,gagné,gagné
