,Démocrate (MoDem et Indépendants),Gauche démocrate et républicaine - NUPES,Horizons et apparentés,La France insoumise - Nouvelle Union Populaire écologique et sociale,Les Républicains,"Libertés, Indépendants, Outre-mer et Territoires",Non inscrit,Rassemblement National,Renaissance,Socialistes et apparentés (membre de l’intergroupe NUPES),Écologiste - NUPES
VTANR5L16V509,gagné,gagné,gagné,pas joué,perdu,gagné,perdu,perdu,gagné,gagné,gagné
VTANR5L16V51,gagné,gagné,gagné,gagné,gagné,gagné,gagné,gagné,gagné,gagné,gagné
VTANR5L16V510,gagné,pas joué,gagné,pas joué,perdu,gagné,perdu,perdu,gagné,gagné,gagné
VTANR5L16V511,gagné,pas joué,gagné,pas joué,perdu,perdu,perdu,perdu,gagné,gagné,pas joué
VTANR5L16V512,gagné,pas joué,gagné,pas joué,perdu,perdu,perdu,perdu,gagné,gagné,gagné
VTANR5L16V513,gagné,gagné,gagné,pas joué,perdu,pas joué,perdu,perdu,gagné,gagné,gagné
VTANR5L16V514,gagné,gagné,gagné,pas joué,pas joué,gagné,perdu,perdu,gagné,gagné,gagné
VTANR5L16V515,gagné,perdu,gagné,pas joué,perdu,gagné,perdu,perdu,gagné,pas joué,perdu
VTANR5L16V516,gagné,perdu,gagné,perdu,gagné,pas joué,pas joué,pas joué,gagné,perdu,perdu
VTANR5L16V517,gagné,perdu,gagné,perdu,gagné,pas joué,pas joué,gagné,gagné,perdu,perdu
VTANR5L16V518,gagné,perdu,gagné,perdu,gagné,pas joué,pas joué,perdu,gagné,perdu,perdu
VTANR5L16V519,gagné,perdu,gagné,perdu,gagné,pas joué,pas joué,gagné,gagné,perdu,perdu
VTANR5L16V52,gagné,perdu,gagné,perdu,gagné,perdu,perdu,gagné,gagné,perdu,perdu
VTANR5L16V520,gagné,pas joué,gagné,pas joué,pas joué,pas joué,pas joué,perdu,gagné,pas joué,perdu
VTANR5L16V521,gagné,perdu,gagné,perdu,gagné,pas joué,pas joué,perdu,gagné,perdu,perdu
VTANR5L16V522,gagné,pas joué,gagné,perdu,perdu,gagné,pas joué,perdu,gagné,pas joué,perdu
VTANR5L16V523,gagné,perdu,gagné,perdu,gagné,gagné,pas joué,pas joué,gagné,perdu,perdu
VTANR5L16V524,gagné,perdu,gagné,perdu,perdu,perdu,pas joué,perdu,gagné,perdu,perdu
VTANR5L16V525,gagné,perdu,gagné,perdu,perdu,gagné,pas joué,perdu,gagné,pas joué,perdu
VTANR5L16V526,gagné,perdu,gagné,perdu,perdu,gagné,pas joué,perdu,gagné,pas joué,perdu
VTANR5L16V527,gagné,perdu,gagné,perdu,pas joué,perdu,pas joué,perdu,gagné,perdu,perdu
VTANR5L16V528,gagné,perdu,gagné,perdu,gagné,perdu,gagné,perdu,gagné,perdu,perdu
VTANR5L16V529,gagné,perdu,gagné,perdu,gagné,perdu,pas joué,perdu,gagné,perdu,perdu
VTANR5L16V53,gagné,perdu,gagné,perdu,gagné,perdu,perdu,pas joué,gagné,perdu,perdu
VTANR5L16V530,gagné,pas joué,gagné,gagné,perdu,perdu,perdu,perdu,gagné,perdu,perdu
VTANR5L16V531,gagné,gagné,gagné,gagné,gagné,gagné,gagné,gagné,gagné,gagné,gagné
VTANR5L16V532,gagné,perdu,gagné,perdu,gagné,perdu,pas joué,perdu,gagné,pas joué,pas joué
VTANR5L16V533,gagné,perdu,gagné,perdu,gagné,perdu,perdu,perdu,gagné,perdu,perdu
VTANR5L16V534,gagné,pas joué,gagné,pas joué,pas joué,gagné,perdu,perdu,gagné,pas joué,pas joué
VTANR5L16V535,gagné,perdu,gagné,perdu,gagné,gagné,pas joué,perdu,gagné,perdu,perdu
VTANR5L16V536,gagné,gagné,gagné,gagné,gagné,gagné,gagné,gagné,gagné,gagné,gagné
VTANR5L16V537,gagné,pas joué,gagné,gagné,perdu,perdu,pas joué,perdu,gagné,pas joué,pas joué
VTANR5L16V538,gagné,gagné,gagné,gagné,gagné,gagné,pas joué,gagné,gagné,gagné,gagné
VTANR5L16V539,gagné,pas joué,gagné,gagné,gagné,pas joué,pas joué,perdu,gagné,pas joué,pas joué
VTANR5L16V54,gagné,gagné,gagné,gagné,perdu,gagné,perdu,perdu,gagné,gagné,gagné
VTANR5L16V540,gagné,perdu,gagné,perdu,perdu,perdu,perdu,perdu,gagné,perdu,perdu
VTANR5L16V541,gagné,perdu,gagné,perdu,gagné,perdu,perdu,pas joué,gagné,perdu,perdu
VTANR5L16V542,gagné,perdu,gagné,perdu,gagné,perdu,perdu,pas joué,gagné,perdu,perdu
VTANR5L16V543,gagné,perdu,gagné,perdu,gagné,perdu,perdu,pas joué,gagné,perdu,perdu
VTANR5L16V544,gagné,gagné,gagné,perdu,gagné,gagné,gagné,pas joué,gagné,perdu,perdu
VTANR5L16V545,gagné,perdu,gagné,perdu,gagné,gagné,gagné,pas joué,gagné,perdu,perdu
VTANR5L16V546,gagné,perdu,gagné,perdu,gagné,gagné,gagné,pas joué,gagné,perdu,perdu
VTANR5L16V547,gagné,perdu,gagné,perdu,gagné,gagné,gagné,gagné,gagné,perdu,perdu
VTANR5L16V548,gagné,perdu,gagné,perdu,gagné,gagné,gagné,gagné,gagné,perdu,perdu
VTANR5L16V549,gagné,perdu,gagné,perdu,gagné,gagné,gagné,pas joué,gagné,perdu,perdu
VTANR5L16V55,gagné,perdu,gagné,gagné,perdu,gagné,perdu,perdu,gagné,gagné,gagné
VTANR5L16V550,gagné,perdu,gagné,perdu,gagné,perdu,pas joué,perdu,gagné,perdu,perdu
VTANR5L16V551,gagné,perdu,gagné,pas joué,gagné,perdu,perdu,perdu,gagné,perdu,perdu
VTANR5L16V552,gagné,pas joué,gagné,pas joué,gagné,gagné,gagné,gagné,gagné,pas joué,pas joué
VTANR5L16V553,gagné,perdu,gagné,perdu,gagné,perdu,gagné,gagné,gagné,perdu,perdu
VTANR5L16V554,gagné,perdu,gagné,perdu,gagné,perdu,gagné,gagné,gagné,perdu,perdu
VTANR5L16V555,gagné,perdu,gagné,perdu,gagné,perdu,gagné,pas joué,gagné,perdu,perdu
VTANR5L16V556,gagné,gagné,gagné,gagné,gagné,gagné,gagné,gagné,gagné,gagné,gagné
VTANR5L16V557,gagné,perdu,gagné,perdu,pas joué,gagné,pas joué,perdu,gagné,pas joué,perdu
VTANR5L16V558,gagné,perdu,gagné,perdu,gagné,pas joué,pas joué,pas joué,gagné,perdu,perdu
VTANR5L16V559,gagné,perdu,gagné,pas joué,pas joué,perdu,pas joué,perdu,gagné,pas joué,perdu
VTANR5L16V56,gagné,perdu,gagné,perdu,gagné,perdu,perdu,gagné,gagné,perdu,perdu
VTANR5L16V560,gagné,perdu,gagné,pas joué,pas joué,perdu,perdu,perdu,gagné,pas joué,perdu
VTANR5L16V561,gagné,perdu,gagné,perdu,gagné,gagné,gagné,gagné,gagné,gagné,pas joué
VTANR5L16V562,gagné,gagné,gagné,gagné,pas joué,pas joué,perdu,perdu,gagné,gagné,gagné
VTANR5L16V563,gagné,gagné,gagné,pas joué,perdu,pas joué,perdu,perdu,gagné,gagné,gagné
VTANR5L16V564,gagné,perdu,gagné,perdu,perdu,perdu,perdu,perdu,gagné,pas joué,perdu
VTANR5L16V565,gagné,pas joué,gagné,perdu,gagné,gagné,gagné,gagné,gagné,pas joué,perdu
VTANR5L16V566,gagné,perdu,gagné,perdu,gagné,perdu,gagné,perdu,gagné,perdu,perdu
VTANR5L16V567,gagné,perdu,gagné,perdu,gagné,perdu,pas joué,perdu,gagné,perdu,perdu
VTANR5L16V568,gagné,perdu,gagné,perdu,gagné,gagné,gagné,perdu,gagné,gagné,perdu
VTANR5L16V569,gagné,pas joué,gagné,pas joué,gagné,gagné,gagné,gagné,gagné,gagné,gagné
VTANR5L16V57,gagné,gagné,gagné,gagné,gagné,gagné,gagné,gagné,gagné,gagné,gagné
VTANR5L16V570,gagné,pas joué,gagné,pas joué,gagné,perdu,pas joué,perdu,gagné,gagné,pas joué
VTANR5L16V571,gagné,pas joué,gagné,perdu,gagné,gagné,gagné,perdu,gagné,gagné,perdu
VTANR5L16V572,gagné,perdu,gagné,perdu,gagné,gagné,gagné,gagné,gagné,gagné,perdu
VTANR5L16V573,gagné,gagné,gagné,gagné,gagné,gagné,gagné,gagné,gagné,gagné,gagné
VTANR5L16V574,gagné,gagné,gagné,gagné,pas joué,gagné,perdu,perdu,gagné,gagné,pas joué
VTANR5L16V575,gagné,pas joué,gagné,pas joué,perdu,pas joué,perdu,perdu,gagné,gagné,pas joué
VTANR5L16V576,gagné,perdu,gagné,perdu,gagné,perdu,gagné,perdu,gagné,perdu,perdu
VTANR5L16V577,gagné,perdu,gagné,perdu,gagné,perdu,perdu,perdu,gagné,perdu,perdu
VTANR5L16V578,gagné,pas joué,gagné,pas joué,gagné,gagné,perdu,perdu,gagné,gagné,gagné
VTANR5L16V579,gagné,pas joué,gagné,pas joué,gagné,gagné,gagné,perdu,gagné,gagné,gagné
VTANR5L16V58,gagné,gagné,gagné,gagné,gagné,gagné,gagné,gagné,gagné,gagné,gagné
VTANR5L16V580,gagné,pas joué,gagné,pas joué,gagné,gagné,gagné,gagné,gagné,gagné,pas joué
VTANR5L16V581,perdu,gagné,perdu,gagné,perdu,pas joué,gagné,gagné,perdu,gagné,gagné
VTANR5L16V582,gagné,gagné,gagné,gagné,gagné,gagné,gagné,gagné,gagné,gagné,gagné
VTANR5L16V583,gagné,gagné,gagné,pas joué,pas joué,pas joué,perdu,perdu,gagné,gagné,gagné
VTANR5L16V584,gagné,gagné,gagné,pas joué,gagné,gagné,gagné,gagné,gagné,gagné,gagné
VTANR5L16V585,gagné,perdu,gagné,perdu,gagné,gagné,gagné,gagné,gagné,gagné,pas joué
VTANR5L16V586,gagné,gagné,gagné,gagné,perdu,pas joué,perdu,perdu,gagné,pas joué,gagné
VTANR5L16V587,gagné,pas joué,gagné,pas joué,gagné,gagné,gagné,gagné,gagné,gagné,gagné
VTANR5L16V588,gagné,pas joué,gagné,perdu,gagné,pas joué,gagné,gagné,gagné,gagné,pas joué
VTANR5L16V589,gagné,pas joué,gagné,perdu,gagné,gagné,gagné,gagné,gagné,gagné,perdu
VTANR5L16V59,gagné,perdu,gagné,perdu,gagné,gagné,gagné,pas joué,gagné,pas joué,perdu
VTANR5L16V590,gagné,pas joué,gagné,perdu,gagné,gagné,gagné,gagné,gagné,perdu,perdu
VTANR5L16V591,gagné,perdu,gagné,perdu,gagné,pas joué,gagné,gagné,gagné,pas joué,perdu
VTANR5L16V592,gagné,perdu,gagné,perdu,pas joué,pas joué,gagné,gagné,gagné,gagné,pas joué
VTANR5L16V593,gagné,perdu,gagné,perdu,gagné,pas joué,gagné,gagné,gagné,perdu,perdu
VTANR5L16V594,gagné,perdu,gagné,perdu,gagné,pas joué,gagné,gagné,gagné,gagné,perdu
VTANR5L16V595,gagné,perdu,gagné,perdu,gagné,gagné,gagné,perdu,gagné,perdu,perdu
VTANR5L16V596,gagné,perdu,gagné,perdu,gagné,gagné,gagné,gagné,gagné,pas joué,perdu
VTANR5L16V597,gagné,perdu,gagné,perdu,gagné,gagné,gagné,gagné,gagné,gagné,perdu
VTANR5L16V598,gagné,perdu,gagné,perdu,gagné,gagné,gagné,perdu,gagné,perdu,perdu
VTANR5L16V599,gagné,perdu,gagné,perdu,gagné,gagné,gagné,gagné,gagné,perdu,perdu
VTANR5L16V6,perdu,gagné,perdu,gagné,gagné,gagné,gagné,gagné,perdu,gagné,gagné
VTANR5L16V60,gagné,pas joué,gagné,gagné,gagné,gagné,gagné,gagné,gagné,pas joué,gagné
VTANR5L16V600,gagné,perdu,gagné,perdu,gagné,gagné,gagné,pas joué,gagné,gagné,perdu
VTANR5L16V601,gagné,perdu,gagné,perdu,gagné,gagné,gagné,gagné,gagné,gagné,pas joué
VTANR5L16V602,gagné,perdu,gagné,perdu,gagné,gagné,gagné,pas joué,gagné,pas joué,perdu
VTANR5L16V603,gagné,perdu,gagné,perdu,gagné,gagné,gagné,pas joué,gagné,perdu,perdu
VTANR5L16V604,gagné,perdu,gagné,perdu,gagné,pas joué,pas joué,gagné,gagné,gagné,perdu
VTANR5L16V605,gagné,perdu,gagné,perdu,gagné,pas joué,gagné,gagné,gagné,perdu,perdu
VTANR5L16V606,gagné,gagné,gagné,pas joué,perdu,pas joué,perdu,perdu,gagné,gagné,pas joué
VTANR5L16V607,gagné,pas joué,gagné,pas joué,pas joué,pas joué,perdu,perdu,gagné,gagné,gagné
VTANR5L16V608,gagné,pas joué,gagné,pas joué,perdu,pas joué,perdu,perdu,gagné,gagné,pas joué
VTANR5L16V609,gagné,perdu,gagné,perdu,perdu,pas joué,perdu,perdu,gagné,perdu,perdu
VTANR5L16V61,gagné,gagné,gagné,gagné,gagné,gagné,gagné,gagné,gagné,gagné,gagné
VTANR5L16V610,gagné,perdu,gagné,perdu,perdu,gagné,gagné,gagné,gagné,perdu,perdu
VTANR5L16V611,gagné,gagné,gagné,gagné,gagné,gagné,pas joué,gagné,gagné,pas joué,gagné
VTANR5L16V612,gagné,pas joué,gagné,pas joué,perdu,pas joué,pas joué,perdu,gagné,pas joué,pas joué
VTANR5L16V613,gagné,gagné,gagné,gagné,gagné,gagné,pas joué,gagné,gagné,pas joué,gagné
VTANR5L16V614,gagné,perdu,gagné,perdu,gagné,gagné,pas joué,gagné,gagné,pas joué,perdu
VTANR5L16V615,gagné,gagné,gagné,pas joué,pas joué,pas joué,pas joué,perdu,gagné,pas joué,gagné
VTANR5L16V616,gagné,pas joué,gagné,pas joué,gagné,gagné,pas joué,pas joué,gagné,pas joué,pas joué
VTANR5L16V617,gagné,perdu,gagné,perdu,gagné,gagné,pas joué,pas joué,gagné,pas joué,perdu
VTANR5L16V618,gagné,perdu,gagné,perdu,pas joué,gagné,pas joué,pas joué,gagné,perdu,perdu
VTANR5L16V619,perdu,gagné,perdu,gagné,gagné,gagné,gagné,gagné,perdu,gagné,gagné
VTANR5L16V62,gagné,gagné,gagné,pas joué,pas joué,gagné,pas joué,gagné,gagné,gagné,gagné
VTANR5L16V620,gagné,perdu,gagné,perdu,pas joué,perdu,perdu,perdu,gagné,perdu,perdu
VTANR5L16V621,gagné,perdu,gagné,perdu,perdu,gagné,pas joué,gagné,gagné,perdu,perdu
VTANR5L16V622,gagné,perdu,gagné,perdu,perdu,gagné,pas joué,gagné,gagné,perdu,perdu
VTANR5L16V623,gagné,perdu,gagné,perdu,gagné,gagné,gagné,gagné,gagné,pas joué,perdu
VTANR5L16V624,gagné,perdu,gagné,pas joué,pas joué,gagné,pas joué,perdu,gagné,pas joué,pas joué
VTANR5L16V625,gagné,gagné,gagné,gagné,perdu,gagné,perdu,pas joué,gagné,gagné,gagné
VTANR5L16V626,gagné,gagné,gagné,gagné,perdu,gagné,perdu,perdu,gagné,gagné,gagné
VTANR5L16V627,gagné,gagné,gagné,gagné,perdu,gagné,gagné,perdu,gagné,gagné,gagné
VTANR5L16V628,gagné,gagné,gagné,gagné,perdu,gagné,gagné,gagné,gagné,gagné,gagné
VTANR5L16V629,gagné,gagné,gagné,gagné,gagné,gagné,gagné,gagné,gagné,gagné,gagné
VTANR5L16V63,gagné,pas joué,gagné,pas joué,gagné,gagné,gagné,gagné,gagné,perdu,perdu
VTANR5L16V630,perdu,gagné,perdu,gagné,gagné,gagné,perdu,gagné,perdu,gagné,gagné
VTANR5L16V631,gagné,gagné,gagné,gagné,pas joué,perdu,pas joué,perdu,gagné,perdu,gagné
VTANR5L16V632,pas joué,perdu,pas joué,perdu,pas joué,pas joué,pas joué,pas joué,pas joué,pas joué,perdu
VTANR5L16V633,gagné,gagné,gagné,gagné,gagné,gagné,gagné,gagné,gagné,gagné,gagné
VTANR5L16V634,pas joué,perdu,pas joué,perdu,pas joué,pas joué,perdu,pas joué,pas joué,pas joué,perdu
VTANR5L16V635,gagné,perdu,gagné,perdu,gagné,gagné,gagné,gagné,gagné,perdu,perdu
VTANR5L16V636,gagné,perdu,gagné,perdu,gagné,gagné,gagné,gagné,gagné,perdu,perdu
VTANR5L16V637,perdu,perdu,gagné,perdu,gagné,gagné,gagné,gagné,gagné,perdu,perdu
VTANR5L16V638,perdu,perdu,gagné,perdu,gagné,gagné,gagné,gagné,gagné,perdu,perdu
VTANR5L16V639,gagné,perdu,gagné,perdu,gagné,gagné,gagné,gagné,gagné,perdu,perdu
VTANR5L16V64,gagné,pas joué,gagné,perdu,gagné,pas joué,gagné,gagné,gagné,pas joué,perdu
VTANR5L16V640,gagné,perdu,gagné,perdu,gagné,gagné,gagné,gagné,gagné,perdu,perdu
VTANR5L16V641,gagné,gagné,gagné,gagné,perdu,gagné,pas joué,perdu,gagné,gagné,gagné
VTANR5L16V642,gagné,gagné,gagné,gagné,pas joué,gagné,perdu,perdu,gagné,gagné,gagné
VTANR5L16V643,gagné,gagné,gagné,gagné,pas joué,gagné,perdu,perdu,gagné,gagné,gagné
VTANR5L16V644,gagné,gagné,gagné,gagné,gagné,gagné,perdu,perdu,gagné,gagné,gagné
VTANR5L16V645,gagné,perdu,gagné,perdu,gagné,gagné,gagné,gagné,gagné,perdu,perdu
VTANR5L16V646,gagné,gagné,gagné,gagné,pas joué,gagné,perdu,perdu,gagné,gagné,gagné
VTANR5L16V647,gagné,gagné,gagné,gagné,perdu,gagné,perdu,perdu,gagné,gagné,gagné
VTANR5L16V648,gagné,perdu,gagné,perdu,gagné,gagné,gagné,gagné,gagné,perdu,perdu
VTANR5L16V649,gagné,perdu,gagné,perdu,gagné,gagné,gagné,perdu,gagné,perdu,perdu
VTANR5L16V65,gagné,perdu,gagné,perdu,gagné,perdu,gagné,gagné,gagné,perdu,perdu
VTANR5L16V650,gagné,gagné,gagné,gagné,gagné,gagné,gagné,gagné,gagné,gagné,gagné
VTANR5L16V651,gagné,pas joué,gagné,pas joué,gagné,gagné,gagné,gagné,gagné,gagné,gagné
VTANR5L16V652,gagné,gagné,gagné,pas joué,gagné,gagné,gagné,pas joué,gagné,gagné,gagné
VTANR5L16V653,gagné,gagné,gagné,pas joué,pas joué,gagné,pas joué,gagné,gagné,gagné,gagné
VTANR5L16V654,gagné,gagné,gagné,gagné,gagné,gagné,gagné,gagné,gagné,gagné,gagné
VTANR5L16V655,gagné,gagné,gagné,gagné,perdu,pas joué,perdu,perdu,gagné,gagné,gagné
VTANR5L16V656,gagné,gagné,gagné,gagné,perdu,perdu,pas joué,perdu,gagné,gagné,gagné
VTANR5L16V657,gagné,gagné,gagné,gagné,perdu,gagné,pas joué,perdu,gagné,gagné,gagné
VTANR5L16V658,perdu,pas joué,perdu,gagné,gagné,gagné,pas joué,gagné,perdu,gagné,gagné
VTANR5L16V659,pas joué,perdu,gagné,pas joué,gagné,pas joué,pas joué,gagné,gagné,perdu,pas joué
VTANR5L16V66,gagné,pas joué,gagné,perdu,gagné,pas joué,gagné,pas joué,gagné,pas joué,perdu
VTANR5L16V660,pas joué,gagné,gagné,gagné,perdu,pas joué,pas joué,perdu,gagné,gagné,pas joué
VTANR5L16V661,pas joué,perdu,gagné,perdu,pas joué,pas joué,pas joué,gagné,gagné,perdu,perdu
VTANR5L16V662,pas joué,perdu,gagné,perdu,pas joué,pas joué,pas joué,gagné,gagné,perdu,perdu
VTANR5L16V663,pas joué,perdu,gagné,perdu,pas joué,pas joué,pas joué,gagné,gagné,perdu,perdu
VTANR5L16V664,pas joué,perdu,pas joué,perdu,pas joué,pas joué,perdu,pas joué,pas joué,perdu,perdu
VTANR5L16V665,gagné,perdu,gagné,perdu,gagné,pas joué,gagné,gagné,gagné,perdu,perdu
VTANR5L16V666,gagné,pas joué,gagné,gagné,perdu,gagné,perdu,perdu,gagné,gagné,gagné
VTANR5L16V667,gagné,perdu,gagné,gagné,perdu,gagné,perdu,perdu,gagné,gagné,gagné
VTANR5L16V668,perdu,gagné,perdu,gagné,gagné,perdu,gagné,gagné,perdu,gagné,gagné
VTANR5L16V669,gagné,perdu,gagné,pas joué,perdu,gagné,perdu,perdu,gagné,pas joué,gagné
VTANR5L16V67,gagné,pas joué,gagné,perdu,gagné,perdu,perdu,gagné,gagné,perdu,perdu
VTANR5L16V670,gagné,perdu,gagné,perdu,gagné,gagné,gagné,gagné,gagné,gagné,perdu
VTANR5L16V671,gagné,perdu,gagné,perdu,gagné,gagné,gagné,gagné,gagné,pas joué,perdu
VTANR5L16V672,gagné,perdu,gagné,pas joué,perdu,gagné,perdu,perdu,gagné,pas joué,gagné
VTANR5L16V673,gagné,pas joué,gagné,gagné,gagné,gagné,perdu,perdu,gagné,gagné,gagné
VTANR5L16V674,gagné,gagné,gagné,gagné,gagné,gagné,gagné,gagné,gagné,gagné,gagné
VTANR5L16V675,gagné,perdu,gagné,gagné,perdu,gagné,perdu,perdu,gagné,gagné,gagné
VTANR5L16V676,gagné,perdu,gagné,gagné,perdu,gagné,perdu,perdu,gagné,gagné,gagné
VTANR5L16V677,gagné,perdu,gagné,gagné,perdu,gagné,perdu,perdu,gagné,gagné,gagné
VTANR5L16V678,gagné,perdu,gagné,perdu,perdu,gagné,perdu,perdu,gagné,perdu,gagné
VTANR5L16V679,gagné,perdu,gagné,gagné,perdu,gagné,perdu,perdu,gagné,gagné,gagné
VTANR5L16V68,gagné,pas joué,gagné,perdu,gagné,gagné,gagné,gagné,gagné,perdu,perdu
VTANR5L16V680,gagné,pas joué,gagné,gagné,perdu,gagné,perdu,perdu,gagné,gagné,gagné
VTANR5L16V681,gagné,pas joué,gagné,gagné,perdu,gagné,perdu,perdu,gagné,gagné,gagné
VTANR5L16V682,gagné,perdu,gagné,pas joué,perdu,gagné,perdu,perdu,gagné,perdu,perdu
VTANR5L16V683,gagné,perdu,gagné,gagné,pas joué,pas joué,perdu,perdu,gagné,gagné,gagné
VTANR5L16V684,gagné,pas joué,gagné,pas joué,perdu,perdu,perdu,perdu,gagné,gagné,gagné
VTANR5L16V685,gagné,gagné,gagné,gagné,perdu,gagné,perdu,perdu,gagné,gagné,gagné
VTANR5L16V686,gagné,perdu,gagné,pas joué,perdu,gagné,perdu,perdu,gagné,gagné,gagné
VTANR5L16V687,gagné,perdu,gagné,perdu,perdu,gagné,perdu,perdu,gagné,gagné,gagné
VTANR5L16V688,gagné,pas joué,gagné,gagné,perdu,gagné,perdu,perdu,gagné,gagné,gagné
VTANR5L16V689,gagné,gagné,gagné,gagné,gagné,gagné,gagné,gagné,gagné,gagné,gagné
VTANR5L16V69,gagné,pas joué,gagné,perdu,gagné,pas joué,gagné,pas joué,gagné,pas joué,perdu
VTANR5L16V690,gagné,pas joué,gagné,perdu,gagné,gagné,gagné,gagné,gagné,perdu,perdu
VTANR5L16V691,gagné,perdu,gagné,perdu,gagné,gagné,gagné,gagné,gagné,gagné,perdu
VTANR5L16V692,gagné,pas joué,gagné,gagné,perdu,gagné,gagné,perdu,gagné,gagné,gagné
VTANR5L16V693,gagné,pas joué,gagné,pas joué,perdu,gagné,perdu,perdu,gagné,gagné,gagné
VTANR5L16V694,gagné,pas joué,gagné,gagné,perdu,gagné,perdu,perdu,gagné,gagné,gagné
VTANR5L16V695,gagné,gagné,gagné,perdu,perdu,gagné,perdu,gagné,gagné,pas joué,perdu
VTANR5L16V696,gagné,gagné,gagné,pas joué,perdu,perdu,perdu,perdu,gagné,gagné,gagné
VTANR5L16V697,gagné,perdu,gagné,gagné,perdu,perdu,perdu,perdu,gagné,perdu,perdu
VTANR5L16V698,gagné,perdu,gagné,gagné,gagné,perdu,gagné,gagné,gagné,gagné,gagné
VTANR5L16V699,gagné,pas joué,gagné,gagné,gagné,gagné,gagné,gagné,gagné,pas joué,perdu
VTANR5L16V7,gagné,perdu,gagné,perdu,gagné,gagné,perdu,perdu,gagné,gagné,perdu
VTANR5L16V70,gagné,perdu,gagné,perdu,gagné,perdu,gagné,gagné,gagné,pas joué,perdu
VTANR5L16V700,gagné,gagné,gagné,perdu,gagné,gagné,gagné,gagné,gagné,perdu,perdu
VTANR5L16V701,gagné,gagné,gagné,perdu,gagné,gagné,gagné,gagné,gagné,perdu,perdu
VTANR5L16V702,gagné,gagné,gagné,perdu,gagné,gagné,pas joué,gagné,gagné,pas joué,pas joué
VTANR5L16V703,gagné,perdu,gagné,perdu,perdu,gagné,pas joué,perdu,gagné,gagné,gagné
VTANR5L16V704,gagné,pas joué,gagné,pas joué,perdu,gagné,perdu,perdu,gagné,perdu,gagné
VTANR5L16V705,gagné,gagné,gagné,perdu,gagné,gagné,gagné,gagné,gagné,perdu,perdu
VTANR5L16V706,gagné,gagné,gagné,perdu,gagné,gagné,gagné,gagné,gagné,perdu,perdu
VTANR5L16V707,gagné,gagné,gagné,perdu,gagné,gagné,gagné,gagné,gagné,perdu,perdu
VTANR5L16V708,gagné,pas joué,gagné,perdu,gagné,gagné,pas joué,gagné,gagné,perdu,perdu
VTANR5L16V709,gagné,pas joué,gagné,perdu,gagné,perdu,pas joué,gagné,gagné,perdu,perdu
VTANR5L16V71,gagné,gagné,gagné,perdu,gagné,pas joué,gagné,gagné,gagné,pas joué,perdu
VTANR5L16V710,perdu,gagné,perdu,gagné,gagné,gagné,pas joué,gagné,perdu,gagné,gagné
VTANR5L16V711,gagné,perdu,gagné,gagné,perdu,perdu,pas joué,perdu,gagné,pas joué,gagné
VTANR5L16V712,gagné,pas joué,gagné,perdu,perdu,perdu,pas joué,perdu,gagné,gagné,gagné
VTANR5L16V713,gagné,pas joué,gagné,perdu,perdu,perdu,pas joué,perdu,gagné,pas joué,gagné
VTANR5L16V714,gagné,pas joué,gagné,perdu,pas joué,gagné,pas joué,perdu,gagné,pas joué,pas joué
VTANR5L16V715,gagné,perdu,gagné,pas joué,perdu,pas joué,pas joué,perdu,gagné,gagné,pas joué
VTANR5L16V716,perdu,gagné,perdu,gagné,gagné,gagné,pas joué,gagné,perdu,gagné,gagné
VTANR5L16V717,gagné,perdu,gagné,perdu,gagné,pas joué,pas joué,perdu,gagné,perdu,perdu
VTANR5L16V718,gagné,perdu,gagné,perdu,gagné,pas joué,pas joué,perdu,gagné,pas joué,pas joué
VTANR5L16V719,gagné,pas joué,gagné,pas joué,pas joué,pas joué,pas joué,perdu,gagné,gagné,gagné
VTANR5L16V72,gagné,perdu,gagné,perdu,gagné,perdu,gagné,gagné,gagné,perdu,perdu
VTANR5L16V720,gagné,pas joué,pas joué,perdu,pas joué,pas joué,pas joué,pas joué,gagné,perdu,perdu
VTANR5L16V721,gagné,pas joué,gagné,perdu,pas joué,pas joué,pas joué,perdu,gagné,perdu,perdu
VTANR5L16V722,gagné,pas joué,gagné,perdu,pas joué,pas joué,pas joué,perdu,gagné,perdu,perdu
VTANR5L16V723,gagné,pas joué,gagné,perdu,pas joué,pas joué,pas joué,gagné,gagné,perdu,perdu
VTANR5L16V724,gagné,pas joué,gagné,perdu,pas joué,pas joué,pas joué,perdu,gagné,gagné,pas joué
VTANR5L16V725,gagné,pas joué,gagné,perdu,pas joué,pas joué,pas joué,perdu,gagné,pas joué,gagné
VTANR5L16V726,gagné,pas joué,gagné,perdu,pas joué,perdu,pas joué,gagné,gagné,perdu,perdu
VTANR5L16V727,gagné,pas joué,gagné,perdu,perdu,pas joué,pas joué,perdu,gagné,perdu,perdu
VTANR5L16V728,perdu,perdu,perdu,perdu,gagné,perdu,pas joué,gagné,gagné,perdu,perdu
VTANR5L16V729,perdu,perdu,perdu,perdu,gagné,pas joué,pas joué,gagné,gagné,perdu,perdu
VTANR5L16V73,gagné,perdu,gagné,perdu,gagné,gagné,gagné,gagné,gagné,pas joué,perdu
VTANR5L16V730,gagné,perdu,gagné,perdu,gagné,perdu,pas joué,gagné,gagné,perdu,perdu
VTANR5L16V731,gagné,perdu,gagné,perdu,gagné,pas joué,pas joué,gagné,gagné,perdu,perdu
