uid,nom,demandeur,organe,organeReuniRef,participants,cr
RUANR5L15A2022IDF0161712,M. Raphaël Gérard,PA719108,,,,
RUANR5L16S2023IDFL447434,,,,PO807496,,
RUANR5L16S2023IDC446637,,,,PO201269,"[{'acteurRef': 'PA719318', 'presence': 'absent'}, {'acteurRef': 'PA793560', 'presence': 'absent'}, {'acteurRef': 'PA342415', 'presence': 'absent'}, {'acteurRef': 'PA720838', 'presence': 'absent'}, {'acteurRef': 'PA721750', 'presence': 'absent'}, {'acteurRef': 'PA795508', 'presence': 'absent'}, {'acteurRef': 'PA719294', 'presence': 'absent'}, {'acteurRef': 'PA795136', 'presence': 'absent'}, {'acteurRef': 'PA794982', 'presence': 'absent'}, {'acteurRef': 'PA720696', 'presence': 'absent'}, {'acteurRef': 'PA608826', 'presence': 'absent'}, {'acteurRef': 'PA643175', 'presence': 'présent'}, {'acteurRef': 'PA794718', 'presence': 'absent'}, {'acteurRef': 'PA795010', 'presence': 'absent'}, {'acteurRef': 'PA721296', 'presence': 'absent'}, {'acteurRef': 'PA793592', 'presence': 'absent'}, {'acteurRef': 'PA720038', 'presence': 'présent'}, {'acteurRef': 'PA795156', 'presence': 'absent'}, {'acteurRef': 'PA721004', 'presence': 'présent'}, {'acteurRef': 'PA795108', 'presence': 'absent'}, {'acteurRef': 'PA796026', 'presence': 'absent'}, {'acteurRef': 'PA791824', 'presence': 'absent'}, {'acteurRef': 'PA720446', 'presence': 'absent'}, {'acteurRef': 'PA721932', 'presence': 'absent'}, {'acteurRef': 'PA793688', 'presence': 'présent'}, {'acteurRef': 'PA719338', 'presence': 'absent'}, {'acteurRef': 'PA719272', 'presence': 'absent'}, {'acteurRef': 'PA719632', 'presence': 'absent'}, {'acteurRef': 'PA720720', 'presence': 'absent'}, {'acteurRef': 'PA721426', 'presence': 'présent'}, {'acteurRef': 'PA794894', 'presence': 'absent'}, {'acteurRef': 'PA795466', 'presence': 'présent'}, {'acteurRef': 'PA793382', 'presence': 'absent'}, {'acteurRef': 'PA795920', 'presence': 'présent'}, {'acteurRef': 'PA795026', 'presence': 'présent'}, {'acteurRef': 'PA721474', 'presence': 'absent'}]",CRCANR5L16S2023PO201269N006
RUANR5L16S2023IDS27063,,,,PO791932,,
RUANR5L16S2023IDC448955,,,,PO419610,,
RUANR5L15A2022IDF0161977,M. Anthony Brosse,PA794330,,,,
RUANR5L16S2023IDFL447963,,,,PO807071,,
RUANR5L16S2023IDC447952,,,,PO812752,"[{'acteurRef': 'PA795228', 'presence': 'absent'}, {'acteurRef': 'PA721158', 'presence': 'absent'}, {'acteurRef': 'PA795058', 'presence': 'absent'}, {'acteurRef': 'PA642695', 'presence': 'absent'}, {'acteurRef': 'PA721816', 'presence': 'absent'}, {'acteurRef': 'PA793624', 'presence': 'absent'}, {'acteurRef': 'PA795068', 'presence': 'absent'}, {'acteurRef': 'PA719294', 'presence': 'absent'}, {'acteurRef': 'PA793548', 'presence': 'absent'}, {'acteurRef': 'PA719266', 'presence': 'absent'}, {'acteurRef': 'PA720684', 'presence': 'présent'}, {'acteurRef': 'PA1206', 'presence': 'absent'}, {'acteurRef': 'PA793792', 'presence': 'présent'}, {'acteurRef': 'PA721024', 'presence': 'excusé'}, {'acteurRef': 'PA794818', 'presence': 'absent'}, {'acteurRef': 'PA720846', 'presence': 'absent'}, {'acteurRef': 'PA794354', 'presence': 'excusé'}, {'acteurRef': 'PA345722', 'presence': 'présent'}, {'acteurRef': 'PA642988', 'presence': 'présent'}, {'acteurRef': 'PA794322', 'presence': 'présent'}, {'acteurRef': 'PA794582', 'presence': 'présent'}, {'acteurRef': 'PA794270', 'presence': 'absent'}, {'acteurRef': 'PA796062', 'presence': 'absent'}, {'acteurRef': 'PA720092', 'presence': 'absent'}, {'acteurRef': 'PA722292', 'presence': 'absent'}, {'acteurRef': 'PA795982', 'presence': 'absent'}, {'acteurRef': 'PA794410', 'presence': 'absent'}, {'acteurRef': 'PA794802', 'presence': 'présent'}, {'acteurRef': 'PA795778', 'presence': 'présent'}, {'acteurRef': 'PA721170', 'presence': 'absent'}]",CRCANR5L16S2023PO812752N029
RUANR5L15A2022IDF0161312,M. François Ruffin,PA722142,,,,
RUANR5L16S2023IDC448348,,,,PO822898,,
RUANR5L16S2023IDC447760,,,,PO805197,,
RUANR5L16S2023IDC446493,,,,PO805243,"[{'acteurRef': 'PA793992', 'presence': 'absent'}, {'acteurRef': 'PA795144', 'presence': 'présent'}, {'acteurRef': 'PA793560', 'presence': 'absent'}, {'acteurRef': 'PA342415', 'presence': 'absent'}, {'acteurRef': 'PA309643', 'presence': 'absent'}, {'acteurRef': 'PA793772', 'presence': 'absent'}, {'acteurRef': 'PA720162', 'presence': 'absent'}, {'acteurRef': 'PA795990', 'presence': 'absent'}, {'acteurRef': 'PA719890', 'presence': 'absent'}, {'acteurRef': 'PA791812', 'presence': 'absent'}, {'acteurRef': 'PA794222', 'presence': 'absent'}, {'acteurRef': 'PA330909', 'presence': 'absent'}, {'acteurRef': 'PA793476', 'presence': 'présent'}, {'acteurRef': 'PA795200', 'presence': 'absent'}, {'acteurRef': 'PA793246', 'presence': 'absent'}, {'acteurRef': 'PA718674', 'presence': 'absent'}, {'acteurRef': 'PA722202', 'presence': 'absent'}, {'acteurRef': 'PA794146', 'presence': 'absent'}, {'acteurRef': 'PA795516', 'presence': 'présent'}, {'acteurRef': 'PA794590', 'presence': 'absent'}, {'acteurRef': 'PA677483', 'presence': 'absent'}, {'acteurRef': 'PA719436', 'presence': 'absent'}, {'acteurRef': 'PA719882', 'presence': 'absent'}, {'acteurRef': 'PA721976', 'presence': 'absent'}, {'acteurRef': 'PA607619', 'presence': 'absent'}, {'acteurRef': 'PA721916', 'presence': 'absent'}, {'acteurRef': 'PA609590', 'presence': 'excusé'}, {'acteurRef': 'PA795528', 'presence': 'absent'}, {'acteurRef': 'PA721314', 'presence': 'présent'}, {'acteurRef': 'PA795778', 'presence': 'absent'}, {'acteurRef': 'PA793194', 'presence': 'absent'}]",CRCANR5L16S2023PO805243N037
RUANR5L16S2023IDC446849,,,,PO805632,,
RUANR5L15A2022IDF0161818,Mme Raquel Garrido,PA796132,,,,
RUANR5L16S2023IDC448227,,,,PO807096,,
RUANR5L16S2023IDC447983,,,,PO807770,,CRCANR5L16S2023PO807770N001
RUANR5L16S2023IDS27361,,,,PO791932,,
RUANR5L15A2022IDF0162158,Mme Céline Calvez,PA721750,,,,
RUANR5L16S2023IDS27243,,,,PO791932,,
RUANR5L15A2022IDF0161680,M. Gabriel Amard,PA794906,,,,
RUANR5L16S2023IDC446673,,,,PO59048,"[{'acteurRef': 'PA793432', 'presence': 'absent'}, {'acteurRef': 'PA795950', 'presence': 'présent'}, {'acteurRef': 'PA793780', 'presence': 'présent'}, {'acteurRef': 'PA643143', 'presence': 'excusé'}, {'acteurRef': 'PA793444', 'presence': 'excusé'}, {'acteurRef': 'PA721410', 'presence': 'présent'}, {'acteurRef': 'PA794094', 'presence': 'absent'}, {'acteurRef': 'PA718838', 'presence': 'présent'}, {'acteurRef': 'PA793624', 'presence': 'présent'}, {'acteurRef': 'PA795836', 'presence': 'présent'}, {'acteurRef': 'PA719138', 'presence': 'présent'}, {'acteurRef': 'PA793940', 'presence': 'présent'}, {'acteurRef': 'PA719472', 'presence': 'présent'}, {'acteurRef': 'PA795580', 'presence': 'présent'}, {'acteurRef': 'PA267429', 'presence': 'présent'}, {'acteurRef': 'PA721202', 'presence': 'absent'}, {'acteurRef': 'PA942', 'presence': 'présent'}, {'acteurRef': 'PA720932', 'presence': 'présent'}, {'acteurRef': 'PA332523', 'presence': 'excusé'}, {'acteurRef': 'PA793166', 'presence': 'présent'}, {'acteurRef': 'PA718926', 'presence': 'présent'}, {'acteurRef': 'PA720386', 'presence': 'présent'}, {'acteurRef': 'PA722382', 'presence': 'présent'}, {'acteurRef': 'PA795200', 'presence': 'absent'}, {'acteurRef': 'PA643175', 'presence': 'présent'}, {'acteurRef': 'PA607193', 'presence': 'absent'}, {'acteurRef': 'PA795120', 'presence': 'présent'}, {'acteurRef': 'PA720006', 'presence': 'présent'}, {'acteurRef': 'PA794470', 'presence': 'présent'}, {'acteurRef': 'PA720560', 'presence': 'présent'}, {'acteurRef': 'PA794478', 'presence': 'présent'}, {'acteurRef': 'PA783457', 'presence': 'absent'}, {'acteurRef': 'PA722054', 'presence': 'présent'}, {'acteurRef': 'PA608416', 'presence': 'présent'}, {'acteurRef': 'PA721150', 'presence': 'absent'}, {'acteurRef': 'PA719778', 'presence': 'présent'}, {'acteurRef': 'PA719798', 'presence': 'absent'}, {'acteurRef': 'PA794450', 'presence': 'présent'}, {'acteurRef': 'PA718978', 'presence': 'absent'}, {'acteurRef': 'PA720022', 'presence': 'présent'}, {'acteurRef': 'PA1874', 'presence': 'absent'}, {'acteurRef': 'PA345722', 'presence': 'présent'}, {'acteurRef': 'PA774962', 'presence': 'excusé'}, {'acteurRef': 'PA795374', 'presence': 'présent'}, {'acteurRef': 'PA794402', 'presence': 'présent'}, {'acteurRef': 'PA795386', 'presence': 'présent'}, {'acteurRef': 'PA721632', 'presence': 'présent'}, {'acteurRef': 'PA795974', 'presence': 'présent'}, {'acteurRef': 'PA608016', 'presence': 'présent'}, {'acteurRef': 'PA720230', 'presence': 'absent'}, {'acteurRef': 'PA794974', 'presence': 'présent'}, {'acteurRef': 'PA793330', 'presence': 'présent'}, {'acteurRef': 'PA720728', 'presence': 'excusé'}, {'acteurRef': 'PA795422', 'presence': 'présent'}, {'acteurRef': 'PA793616', 'presence': 'absent'}, {'acteurRef': 'PA794686', 'presence': 'absent'}, {'acteurRef': 'PA794878', 'presence': 'absent'}, {'acteurRef': 'PA794314', 'presence': 'absent'}, {'acteurRef': 'PA718930', 'presence': 'présent'}, {'acteurRef': 'PA608172', 'presence': 'présent'}, {'acteurRef': 'PA793572', 'presence': 'présent'}, {'acteurRef': 'PA721678', 'presence': 'absent'}, {'acteurRef': 'PA793884', 'presence': 'présent'}, {'acteurRef': 'PA721458', 'presence': 'présent'}, {'acteurRef': 'PA794570', 'presence': 'absent'}, {'acteurRef': 'PA793724', 'presence': 'présent'}, {'acteurRef': 'PA794954', 'presence': 'absent'}, {'acteurRef': 'PA605745', 'presence': 'absent'}, {'acteurRef': 'PA610002', 'presence': 'présent'}, {'acteurRef': 'PA796050', 'presence': 'absent'}, {'acteurRef': 'PA795778', 'presence': 'présent'}, {'acteurRef': 'PA794650', 'presence': 'absent'}, {'acteurRef': 'PA720014', 'presence': 'absent'}, {'acteurRef': 'PA721170', 'presence': 'présent'}]",CRCANR5L16S2023PO59048N040
RUANR5L16S2023IDC447749,,,,PO812752,"[{'acteurRef': 'PA795228', 'presence': 'présent'}, {'acteurRef': 'PA721158', 'presence': 'absent'}, {'acteurRef': 'PA795058', 'presence': 'absent'}, {'acteurRef': 'PA642695', 'presence': 'absent'}, {'acteurRef': 'PA721816', 'presence': 'absent'}, {'acteurRef': 'PA793624', 'presence': 'présent'}, {'acteurRef': 'PA795068', 'presence': 'présent'}, {'acteurRef': 'PA719294', 'presence': 'présent'}, {'acteurRef': 'PA793548', 'presence': 'présent'}, {'acteurRef': 'PA719266', 'presence': 'absent'}, {'acteurRef': 'PA720684', 'presence': 'absent'}, {'acteurRef': 'PA1206', 'presence': 'absent'}, {'acteurRef': 'PA793792', 'presence': 'absent'}, {'acteurRef': 'PA794538', 'presence': 'présent'}, {'acteurRef': 'PA721024', 'presence': 'absent'}, {'acteurRef': 'PA794818', 'presence': 'présent'}, {'acteurRef': 'PA720846', 'presence': 'absent'}, {'acteurRef': 'PA794354', 'presence': 'présent'}, {'acteurRef': 'PA345722', 'presence': 'présent'}, {'acteurRef': 'PA794322', 'presence': 'absent'}, {'acteurRef': 'PA794582', 'presence': 'présent'}, {'acteurRef': 'PA794270', 'presence': 'présent'}, {'acteurRef': 'PA796062', 'presence': 'absent'}, {'acteurRef': 'PA720092', 'presence': 'absent'}, {'acteurRef': 'PA722292', 'presence': 'absent'}, {'acteurRef': 'PA795982', 'presence': 'absent'}, {'acteurRef': 'PA794410', 'presence': 'absent'}, {'acteurRef': 'PA794802', 'presence': 'excusé'}, {'acteurRef': 'PA795778', 'presence': 'présent'}, {'acteurRef': 'PA721170', 'presence': 'absent'}]",CRCANR5L16S2023PO812752N024
RUANR5L16S2023IDC447775,,,,PO805625,,
RUANR5L16S2022IDC445426,,,,PO802944,"[{'acteurRef': 'PA757676', 'presence': 'absent'}, {'acteurRef': 'PA642847', 'presence': 'présent'}, {'acteurRef': 'PA775176', 'presence': 'présent'}, {'acteurRef': 'PA795990', 'presence': 'présent'}, {'acteurRef': 'PA703528', 'presence': 'absent'}, {'acteurRef': 'PA794638', 'presence': 'présent'}, {'acteurRef': 'PA793736', 'presence': 'présent'}, {'acteurRef': 'PA718926', 'presence': 'présent'}, {'acteurRef': 'PA708633', 'presence': 'présent'}, {'acteurRef': 'PA794418', 'presence': 'présent'}, {'acteurRef': 'PA703530', 'presence': 'présent'}, {'acteurRef': 'PA736233', 'presence': 'présent'}, {'acteurRef': 'PA719372', 'presence': 'présent'}, {'acteurRef': 'PA719186', 'presence': 'présent'}, {'acteurRef': 'PA736211', 'presence': 'absent'}, {'acteurRef': 'PA774958', 'presence': 'présent'}, {'acteurRef': 'PA342564', 'presence': 'présent'}, {'acteurRef': 'PA719072', 'presence': 'absent'}, {'acteurRef': 'PA736183', 'presence': 'présent'}, {'acteurRef': 'PA643211', 'presence': 'présent'}, {'acteurRef': 'PA703518', 'presence': 'présent'}, {'acteurRef': 'PA720480', 'presence': 'présent'}, {'acteurRef': 'PA429842', 'presence': 'présent'}, {'acteurRef': 'PA736239', 'presence': 'présent'}, {'acteurRef': 'PA795076', 'presence': 'présent'}, {'acteurRef': 'PA795164', 'presence': 'absent'}, {'acteurRef': 'PA722162', 'presence': 'présent'}, {'acteurRef': 'PA227098', 'presence': 'présent'}]",
RUANR5L15A2022IDF0161791,M. Guillaume Garot,PA333285,,,,
RUANR5L16S2023IDC447608,,,,PO419610,"[{'acteurRef': 'PA795228', 'presence': 'présent'}, {'acteurRef': 'PA794278', 'presence': 'présent'}, {'acteurRef': 'PA793262', 'presence': 'présent'}, {'acteurRef': 'PA794138', 'presence': 'présent'}, {'acteurRef': 'PA795144', 'presence': 'présent'}, {'acteurRef': 'PA793560', 'presence': 'présent'}, {'acteurRef': 'PA342415', 'presence': 'présent'}, {'acteurRef': 'PA332228', 'presence': 'présent'}, {'acteurRef': 'PA719024', 'presence': 'présent'}, {'acteurRef': 'PA774954', 'presence': 'excusé'}, {'acteurRef': 'PA720162', 'presence': 'présent'}, {'acteurRef': 'PA642695', 'presence': 'présent'}, {'acteurRef': 'PA342240', 'presence': 'présent'}, {'acteurRef': 'PA719032', 'presence': 'présent'}, {'acteurRef': 'PA795990', 'presence': 'présent'}, {'acteurRef': 'PA267306', 'presence': 'présent'}, {'acteurRef': 'PA791812', 'presence': 'excusé'}, {'acteurRef': 'PA267429', 'presence': 'présent'}, {'acteurRef': 'PA719294', 'presence': 'présent'}, {'acteurRef': 'PA793876', 'presence': 'présent'}, {'acteurRef': 'PA793122', 'presence': 'présent'}, {'acteurRef': 'PA793394', 'presence': 'présent'}, {'acteurRef': 'PA720696', 'presence': 'présent'}, {'acteurRef': 'PA720862', 'presence': 'présent'}, {'acteurRef': 'PA718926', 'presence': 'absent'}, {'acteurRef': 'PA712015', 'presence': 'présent'}, {'acteurRef': 'PA608826', 'presence': 'présent'}, {'acteurRef': 'PA794854', 'presence': 'présent'}, {'acteurRef': 'PA794718', 'presence': 'présent'}, {'acteurRef': 'PA793792', 'presence': 'présent'}, {'acteurRef': 'PA793964', 'presence': 'présent'}, {'acteurRef': 'PA796070', 'presence': 'excusé'}, {'acteurRef': 'PA605991', 'presence': 'absent'}, {'acteurRef': 'PA720222', 'presence': 'présent'}, {'acteurRef': 'PA718674', 'presence': 'présent'}, {'acteurRef': 'PA794846', 'presence': 'présent'}, {'acteurRef': 'PA794418', 'presence': 'présent'}, {'acteurRef': 'PA793592', 'presence': 'présent'}, {'acteurRef': 'PA794082', 'presence': 'présent'}, {'acteurRef': 'PA795652', 'presence': 'présent'}, {'acteurRef': 'PA719372', 'presence': 'présent'}, {'acteurRef': 'PA794146', 'presence': 'présent'}, {'acteurRef': 'PA795516', 'presence': 'présent'}, {'acteurRef': 'PA719382', 'presence': 'présent'}, {'acteurRef': 'PA794354', 'presence': 'excusé'}, {'acteurRef': 'PA719664', 'presence': 'présent'}, {'acteurRef': 'PA719388', 'presence': 'présent'}, {'acteurRef': 'PA720342', 'presence': 'présent'}, {'acteurRef': 'PA642988', 'presence': 'présent'}, {'acteurRef': 'PA793904', 'presence': 'présent'}, {'acteurRef': 'PA334116', 'presence': 'présent'}, {'acteurRef': 'PA795730', 'presence': 'présent'}, {'acteurRef': 'PA719080', 'presence': 'présent'}, {'acteurRef': 'PA795100', 'presence': 'présent'}, {'acteurRef': 'PA795692', 'presence': 'présent'}, {'acteurRef': 'PA720146', 'presence': 'présent'}, {'acteurRef': 'PA720976', 'presence': 'excusé'}, {'acteurRef': 'PA719436', 'presence': 'présent'}, {'acteurRef': 'PA795786', 'presence': 'présent'}, {'acteurRef': 'PA795664', 'presence': 'présent'}, {'acteurRef': 'PA607619', 'presence': 'absent'}, {'acteurRef': 'PA794810', 'presence': 'présent'}, {'acteurRef': 'PA720644', 'presence': 'présent'}, {'acteurRef': 'PA795794', 'presence': 'présent'}, {'acteurRef': 'PA720414', 'presence': 'absent'}, {'acteurRef': 'PA718930', 'presence': 'présent'}, {'acteurRef': 'PA817211', 'presence': 'présent'}, {'acteurRef': 'PA607553', 'presence': 'présent'}, {'acteurRef': 'PA720092', 'presence': 'présent'}, {'acteurRef': 'PA795528', 'presence': 'absent'}, {'acteurRef': 'PA266808', 'presence': 'présent'}, {'acteurRef': 'PA794894', 'presence': 'excusé'}, {'acteurRef': 'PA794626', 'presence': 'présent'}, {'acteurRef': 'PA796018', 'presence': 'présent'}, {'acteurRef': 'PA794486', 'presence': 'présent'}, {'acteurRef': 'PA720952', 'presence': 'absent'}, {'acteurRef': 'PA794166', 'presence': 'excusé'}, {'acteurRef': 'PA793298', 'presence': 'excusé'}, {'acteurRef': 'PA607395', 'presence': 'présent'}, {'acteurRef': 'PA795164', 'presence': 'excusé'}, {'acteurRef': 'PA607090', 'presence': 'absent'}, {'acteurRef': 'PA421348', 'presence': 'présent'}, {'acteurRef': 'PA721170', 'presence': 'présent'}, {'acteurRef': 'PA720992', 'presence': 'excusé'}]",CRCANR5L16S2023PO419610N051
RUANR5L15A2022IDF0161426,M. Jean-Michel Jacques,PA720354,,,,
RUANR5L16S2023IDC447047,,,,PO805632,,
RUANR5L16S2022IDC445443,,,,PO419610,"[{'acteurRef': 'PA794278', 'presence': 'absent'}, {'acteurRef': 'PA793262', 'presence': 'présent'}, {'acteurRef': 'PA795144', 'presence': 'absent'}, {'acteurRef': 'PA793560', 'presence': 'excusé'}, {'acteurRef': 'PA335999', 'presence': 'présent'}, {'acteurRef': 'PA342415', 'presence': 'présent'}, {'acteurRef': 'PA332228', 'presence': 'présent'}, {'acteurRef': 'PA774954', 'presence': 'absent'}, {'acteurRef': 'PA720162', 'presence': 'présent'}, {'acteurRef': 'PA642695', 'presence': 'absent'}, {'acteurRef': 'PA342240', 'presence': 'présent'}, {'acteurRef': 'PA720838', 'presence': 'absent'}, {'acteurRef': 'PA719032', 'presence': 'présent'}, {'acteurRef': 'PA795990', 'presence': 'excusé'}, {'acteurRef': 'PA794798', 'presence': 'présent'}, {'acteurRef': 'PA791812', 'presence': 'excusé'}, {'acteurRef': 'PA267429', 'presence': 'absent'}, {'acteurRef': 'PA793122', 'presence': 'présent'}, {'acteurRef': 'PA720862', 'presence': 'présent'}, {'acteurRef': 'PA720386', 'presence': 'présent'}, {'acteurRef': 'PA712015', 'presence': 'présent'}, {'acteurRef': 'PA608826', 'presence': 'présent'}, {'acteurRef': 'PA794718', 'presence': 'présent'}, {'acteurRef': 'PA793964', 'presence': 'présent'}, {'acteurRef': 'PA793980', 'presence': 'absent'}, {'acteurRef': 'PA796070', 'presence': 'présent'}, {'acteurRef': 'PA720222', 'presence': 'présent'}, {'acteurRef': 'PA794418', 'presence': 'présent'}, {'acteurRef': 'PA793592', 'presence': 'présent'}, {'acteurRef': 'PA795828', 'presence': 'absent'}, {'acteurRef': 'PA794082', 'presence': 'excusé'}, {'acteurRef': 'PA795652', 'presence': 'présent'}, {'acteurRef': 'PA722202', 'presence': 'excusé'}, {'acteurRef': 'PA719372', 'presence': 'présent'}, {'acteurRef': 'PA794146', 'presence': 'présent'}, {'acteurRef': 'PA795516', 'presence': 'absent'}, {'acteurRef': 'PA719382', 'presence': 'présent'}, {'acteurRef': 'PA794354', 'presence': 'présent'}, {'acteurRef': 'PA719664', 'presence': 'présent'}, {'acteurRef': 'PA719388', 'presence': 'présent'}, {'acteurRef': 'PA720342', 'presence': 'présent'}, {'acteurRef': 'PA642988', 'presence': 'excusé'}, {'acteurRef': 'PA793904', 'presence': 'absent'}, {'acteurRef': 'PA334116', 'presence': 'absent'}, {'acteurRef': 'PA795730', 'presence': 'présent'}, {'acteurRef': 'PA719080', 'presence': 'présent'}, {'acteurRef': 'PA795100', 'presence': 'présent'}, {'acteurRef': 'PA795692', 'presence': 'absent'}, {'acteurRef': 'PA720976', 'presence': 'absent'}, {'acteurRef': 'PA719436', 'presence': 'absent'}, {'acteurRef': 'PA795786', 'presence': 'présent'}, {'acteurRef': 'PA795664', 'presence': 'absent'}, {'acteurRef': 'PA607619', 'presence': 'présent'}, {'acteurRef': 'PA794810', 'presence': 'présent'}, {'acteurRef': 'PA643157', 'presence': 'absent'}, {'acteurRef': 'PA720644', 'presence': 'absent'}, {'acteurRef': 'PA793588', 'presence': 'absent'}, {'acteurRef': 'PA720414', 'presence': 'absent'}, {'acteurRef': 'PA718930', 'presence': 'absent'}, {'acteurRef': 'PA607553', 'presence': 'présent'}, {'acteurRef': 'PA720092', 'presence': 'absent'}, {'acteurRef': 'PA722252', 'presence': 'absent'}, {'acteurRef': 'PA266808', 'presence': 'absent'}, {'acteurRef': 'PA794894', 'presence': 'absent'}, {'acteurRef': 'PA796018', 'presence': 'absent'}, {'acteurRef': 'PA718860', 'presence': 'présent'}, {'acteurRef': 'PA794166', 'presence': 'absent'}, {'acteurRef': 'PA793298', 'presence': 'absent'}, {'acteurRef': 'PA607395', 'presence': 'absent'}, {'acteurRef': 'PA795164', 'presence': 'présent'}, {'acteurRef': 'PA607090', 'presence': 'présent'}, {'acteurRef': 'PA421348', 'presence': 'présent'}, {'acteurRef': 'PA721170', 'presence': 'présent'}, {'acteurRef': 'PA720992', 'presence': 'absent'}]",CRCANR5L16S2022PO419610N018
RUANR5L15A2022IDF0161890,M. Paul Molac,PA607619,,,,
RUANR5L16S2023IDC446620,,,,PO808489,,
RUANR5L16S2022IDS26226,,,,PO791932,,
RUANR5L15A2022IDF0161740,Mme Prisca Thevenot,PA795920,,,,
RUANR5L16S2023IDC447878,,,,PO807790,,
RUANR5L16S2023IDC447110,,,,PO807186,,
RUANR5L16S2023IDC445879,,,,PO804431,"[{'acteurRef': 'PA719558', 'presence': 'présent'}, {'acteurRef': 'PA720430', 'presence': 'présent'}, {'acteurRef': 'PA774954', 'presence': 'absent'}, {'acteurRef': 'PA642868', 'presence': 'présent'}, {'acteurRef': 'PA794762', 'presence': 'présent'}, {'acteurRef': 'PA720154', 'presence': 'présent'}, {'acteurRef': 'PA721094', 'presence': 'présent'}, {'acteurRef': 'PA607193', 'presence': 'présent'}, {'acteurRef': 'PA794658', 'presence': 'présent'}, {'acteurRef': 'PA796070', 'presence': 'excusé'}, {'acteurRef': 'PA794846', 'presence': 'présent'}, {'acteurRef': 'PA721296', 'presence': 'absent'}, {'acteurRef': 'PA720560', 'presence': 'absent'}, {'acteurRef': 'PA794004', 'presence': 'présent'}, {'acteurRef': 'PA720074', 'presence': 'absent'}, {'acteurRef': 'PA794354', 'presence': 'excusé'}, {'acteurRef': 'PA795912', 'presence': 'présent'}, {'acteurRef': 'PA774962', 'presence': 'présent'}, {'acteurRef': 'PA793672', 'presence': 'présent'}, {'acteurRef': 'PA605782', 'presence': 'absent'}, {'acteurRef': 'PA793342', 'presence': 'présent'}, {'acteurRef': 'PA794686', 'presence': 'présent'}, {'acteurRef': 'PA794670', 'presence': 'présent'}, {'acteurRef': 'PA795794', 'presence': 'présent'}, {'acteurRef': 'PA721234', 'presence': 'présent'}, {'acteurRef': 'PA721710', 'presence': 'présent'}, {'acteurRef': 'PA794994', 'presence': 'présent'}, {'acteurRef': 'PA719600', 'presence': 'présent'}, {'acteurRef': 'PA793230', 'presence': 'présent'}, {'acteurRef': 'PA774960', 'presence': 'présent'}, {'acteurRef': 'PA340343', 'presence': 'excusé'}, {'acteurRef': 'PA720960', 'presence': 'absent'}, {'acteurRef': 'PA793744', 'presence': 'présent'}, {'acteurRef': 'PA720754', 'presence': 'présent'}, {'acteurRef': 'PA643134', 'presence': 'présent'}, {'acteurRef': 'PA793110', 'presence': 'présent'}]",CRCANR5L16S2023PO804431N002
