uid,nom,demandeur,organe,organeReuniRef,participants,cr
RUANR5L16S2023IDC445981,,,,PO415287,"[{'acteurRef': 'PA793992', 'presence': 'absent'}, {'acteurRef': 'PA793432', 'presence': 'absent'}, {'acteurRef': 'PA794906', 'presence': 'absent'}, {'acteurRef': 'PA721158', 'presence': 'présent'}, {'acteurRef': 'PA795084', 'presence': 'absent'}, {'acteurRef': 'PA794522', 'presence': 'présent'}, {'acteurRef': 'PA774954', 'presence': 'excusé'}, {'acteurRef': 'PA793444', 'presence': 'absent'}, {'acteurRef': 'PA718710', 'presence': 'absent'}, {'acteurRef': 'PA722000', 'presence': 'excusé'}, {'acteurRef': 'PA267306', 'presence': 'excusé'}, {'acteurRef': 'PA791812', 'presence': 'présent'}, {'acteurRef': 'PA794222', 'presence': 'présent'}, {'acteurRef': 'PA793876', 'presence': 'présent'}, {'acteurRef': 'PA720684', 'presence': 'absent'}, {'acteurRef': 'PA794538', 'presence': 'absent'}, {'acteurRef': 'PA333285', 'presence': 'absent'}, {'acteurRef': 'PA794470', 'presence': 'absent'}, {'acteurRef': 'PA795958', 'presence': 'présent'}, {'acteurRef': 'PA1630', 'presence': 'absent'}, {'acteurRef': 'PA721150', 'presence': 'absent'}, {'acteurRef': 'PA346782', 'presence': 'absent'}, {'acteurRef': 'PA335054', 'presence': 'excusé'}, {'acteurRef': 'PA643184', 'presence': 'présent'}, {'acteurRef': 'PA794146', 'presence': 'absent'}, {'acteurRef': 'PA345722', 'presence': 'présent'}, {'acteurRef': 'PA720342', 'presence': 'présent'}, {'acteurRef': 'PA720146', 'presence': 'absent'}, {'acteurRef': 'PA793354', 'presence': 'excusé'}, {'acteurRef': 'PA795786', 'presence': 'absent'}, {'acteurRef': 'PA794322', 'presence': 'absent'}, {'acteurRef': 'PA794386', 'presence': 'présent'}, {'acteurRef': 'PA794810', 'presence': 'absent'}, {'acteurRef': 'PA721960', 'presence': 'absent'}, {'acteurRef': 'PA793872', 'presence': 'absent'}, {'acteurRef': 'PA721182', 'presence': 'excusé'}, {'acteurRef': 'PA794270', 'presence': 'absent'}, {'acteurRef': 'PA793572', 'presence': 'absent'}, {'acteurRef': 'PA609520', 'presence': 'excusé'}, {'acteurRef': 'PA2449', 'presence': 'présent'}, {'acteurRef': 'PA720092', 'presence': 'présent'}, {'acteurRef': 'PA794778', 'presence': 'excusé'}, {'acteurRef': 'PA605745', 'presence': 'absent'}, {'acteurRef': 'PA794410', 'presence': 'présent'}, {'acteurRef': 'PA794802', 'presence': 'présent'}, {'acteurRef': 'PA719550', 'presence': 'présent'}, {'acteurRef': 'PA719822', 'presence': 'excusé'}, {'acteurRef': 'PA796078', 'presence': 'absent'}]",CRCANR5L16S2023PO415287N0014
RUANR5L16S2023IDC448787,,,,PO59051,"[{'acteurRef': 'PA719866', 'presence': 'absent'}, {'acteurRef': 'PA793278', 'presence': 'absent'}, {'acteurRef': 'PA721158', 'presence': 'présent'}, {'acteurRef': 'PA719558', 'presence': 'présent'}, {'acteurRef': 'PA793374', 'presence': 'absent'}, {'acteurRef': 'PA720430', 'presence': 'absent'}, {'acteurRef': 'PA793844', 'presence': 'présent'}, {'acteurRef': 'PA721816', 'presence': 'présent'}, {'acteurRef': 'PA606507', 'presence': 'présent'}, {'acteurRef': 'PA794094', 'presence': 'présent'}, {'acteurRef': 'PA330008', 'presence': 'absent'}, {'acteurRef': 'PA795508', 'presence': 'absent'}, {'acteurRef': 'PA795068', 'presence': 'présent'}, {'acteurRef': 'PA330240', 'presence': 'excusé'}, {'acteurRef': 'PA795136', 'presence': 'absent'}, {'acteurRef': 'PA794194', 'presence': 'absent'}, {'acteurRef': 'PA793928', 'presence': 'présent'}, {'acteurRef': 'PA794786', 'presence': 'présent'}, {'acteurRef': 'PA793980', 'presence': 'présent'}, {'acteurRef': 'PA796132', 'presence': 'absent'}, {'acteurRef': 'PA793832', 'presence': 'absent'}, {'acteurRef': 'PA266797', 'presence': 'absent'}, {'acteurRef': 'PA721296', 'presence': 'présent'}, {'acteurRef': 'PA721880', 'presence': 'excusé'}, {'acteurRef': 'PA793218', 'presence': 'absent'}, {'acteurRef': 'PA793190', 'presence': 'présent'}, {'acteurRef': 'PA722150', 'presence': 'présent'}, {'acteurRef': 'PA793632', 'presence': 'présent'}, {'acteurRef': 'PA794022', 'presence': 'présent'}, {'acteurRef': 'PA719874', 'presence': 'excusé'}, {'acteurRef': 'PA720038', 'presence': 'présent'}, {'acteurRef': 'PA267901', 'presence': 'excusé'}, {'acteurRef': 'PA335054', 'presence': 'présent'}, {'acteurRef': 'PA795998', 'presence': 'excusé'}, {'acteurRef': 'PA794130', 'presence': 'présent'}, {'acteurRef': 'PA721984', 'presence': 'présent'}, {'acteurRef': 'PA719412', 'presence': 'absent'}, {'acteurRef': 'PA721466', 'presence': 'présent'}, {'acteurRef': 'PA795746', 'presence': 'absent'}, {'acteurRef': 'PA721852', 'presence': 'absent'}, {'acteurRef': 'PA795108', 'presence': 'présent'}, {'acteurRef': 'PA796026', 'presence': 'absent'}, {'acteurRef': 'PA793290', 'presence': 'présent'}, {'acteurRef': 'PA794838', 'presence': 'absent'}, {'acteurRef': 'PA721932', 'presence': 'absent'}, {'acteurRef': 'PA794114', 'presence': 'présent'}, {'acteurRef': 'PA342384', 'presence': 'absent'}, {'acteurRef': 'PA794322', 'presence': 'absent'}, {'acteurRef': 'PA720370', 'presence': 'présent'}, {'acteurRef': 'PA607619', 'presence': 'présent'}, {'acteurRef': 'PA720908', 'presence': 'excusé'}, {'acteurRef': 'PA721960', 'presence': 'absent'}, {'acteurRef': 'PA719202', 'presence': 'absent'}, {'acteurRef': 'PA718784', 'presence': 'absent'}, {'acteurRef': 'PA794582', 'presence': 'présent'}, {'acteurRef': 'PA2449', 'presence': 'présent'}, {'acteurRef': 'PA796062', 'presence': 'absent'}, {'acteurRef': 'PA719600', 'presence': 'absent'}, {'acteurRef': 'PA795270', 'presence': 'présent'}, {'acteurRef': 'PA793306', 'presence': 'présent'}, {'acteurRef': 'PA720100', 'presence': 'absent'}, {'acteurRef': 'PA795966', 'presence': 'absent'}, {'acteurRef': 'PA722398', 'presence': 'absent'}, {'acteurRef': 'PA794778', 'presence': 'présent'}, {'acteurRef': 'PA795876', 'presence': 'excusé'}, {'acteurRef': 'PA795410', 'presence': 'absent'}, {'acteurRef': 'PA722292', 'presence': 'présent'}, {'acteurRef': 'PA794626', 'presence': 'présent'}, {'acteurRef': 'PA605745', 'presence': 'absent'}, {'acteurRef': 'PA340343', 'presence': 'absent'}, {'acteurRef': 'PA721314', 'presence': 'présent'}, {'acteurRef': 'PA794930', 'presence': 'absent'}, {'acteurRef': 'PA794106', 'presence': 'absent'}, {'acteurRef': 'PA721584', 'presence': 'présent'}, {'acteurRef': 'PA719822', 'presence': 'absent'}, {'acteurRef': 'PA608695', 'presence': 'absent'}, {'acteurRef': 'PA795326', 'presence': 'présent'}]",CRCANR5L16S2023PO59051N058
RUANR5L16S2023IDC447409,,,,PO808046,,
RUANR5L16S2023IDC448944,,,,PO822915,,
RUANR5L16S2023IDC446754,,,,PO59048,,
RUANR5L16S2023IDC448555,,,,PO815577,,
RUANR5L16S2023IDC446732,,,,PO59047,"[{'acteurRef': 'PA605036', 'presence': 'excusé'}, {'acteurRef': 'PA795228', 'presence': 'présent'}, {'acteurRef': 'PA719100', 'presence': 'présent'}, {'acteurRef': 'PA588884', 'presence': 'présent'}, {'acteurRef': 'PA718884', 'presence': 'présent'}, {'acteurRef': 'PA309643', 'presence': 'présent'}, {'acteurRef': 'PA795616', 'presence': 'présent'}, {'acteurRef': 'PA793528', 'presence': 'présent'}, {'acteurRef': 'PA721608', 'presence': 'présent'}, {'acteurRef': 'PA795318', 'presence': 'absent'}, {'acteurRef': 'PA721118', 'presence': 'excusé'}, {'acteurRef': 'PA793134', 'presence': 'présent'}, {'acteurRef': 'PA795330', 'presence': 'présent'}, {'acteurRef': 'PA720468', 'presence': 'excusé'}, {'acteurRef': 'PA719294', 'presence': 'présent'}, {'acteurRef': 'PA718850', 'presence': 'présent'}, {'acteurRef': 'PA1008', 'presence': 'présent'}, {'acteurRef': 'PA794982', 'presence': 'excusé'}, {'acteurRef': 'PA720684', 'presence': 'présent'}, {'acteurRef': 'PA1206', 'presence': 'présent'}, {'acteurRef': 'PA793246', 'presence': 'présent'}, {'acteurRef': 'PA609332', 'presence': 'excusé'}, {'acteurRef': 'PA1327', 'presence': 'présent'}, {'acteurRef': 'PA794538', 'presence': 'présent'}, {'acteurRef': 'PA722284', 'presence': 'présent'}, {'acteurRef': 'PA333285', 'presence': 'excusé'}, {'acteurRef': 'PA721760', 'presence': 'présent'}, {'acteurRef': 'PA721722', 'presence': 'présent'}, {'acteurRef': 'PA718674', 'presence': 'absent'}, {'acteurRef': 'PA720174', 'presence': 'présent'}, {'acteurRef': 'PA794734', 'presence': 'présent'}, {'acteurRef': 'PA695100', 'presence': 'présent'}, {'acteurRef': 'PA795900', 'presence': 'présent'}, {'acteurRef': 'PA796110', 'presence': 'présent'}, {'acteurRef': 'PA1630', 'presence': 'présent'}, {'acteurRef': 'PA794030', 'presence': 'présent'}, {'acteurRef': 'PA722344', 'presence': 'présent'}, {'acteurRef': 'PA643184', 'presence': 'présent'}, {'acteurRef': 'PA794818', 'presence': 'présent'}, {'acteurRef': 'PA721004', 'presence': 'présent'}, {'acteurRef': 'PA795672', 'presence': 'présent'}, {'acteurRef': 'PA795184', 'presence': 'excusé'}, {'acteurRef': 'PA720614', 'presence': 'excusé'}, {'acteurRef': 'PA795108', 'presence': 'excusé'}, {'acteurRef': 'PA335612', 'presence': 'excusé'}, {'acteurRef': 'PA717379', 'presence': 'présent'}, {'acteurRef': 'PA605782', 'presence': 'excusé'}, {'acteurRef': 'PA719608', 'presence': 'présent'}, {'acteurRef': 'PA795176', 'presence': 'présent'}, {'acteurRef': 'PA721486', 'presence': 'présent'}, {'acteurRef': 'PA793872', 'presence': 'présent'}, {'acteurRef': 'PA333421', 'presence': 'présent'}, {'acteurRef': 'PA720892', 'presence': 'excusé'}, {'acteurRef': 'PA721182', 'presence': 'présent'}, {'acteurRef': 'PA794582', 'presence': 'présent'}, {'acteurRef': 'PA609520', 'presence': 'présent'}, {'acteurRef': 'PA719528', 'presence': 'présent'}, {'acteurRef': 'PA720422', 'presence': 'présent'}, {'acteurRef': 'PA794442', 'presence': 'présent'}, {'acteurRef': 'PA720138', 'presence': 'présent'}, {'acteurRef': 'PA795808', 'presence': 'absent'}, {'acteurRef': 'PA794410', 'presence': 'présent'}, {'acteurRef': 'PA795466', 'presence': 'présent'}, {'acteurRef': 'PA267794', 'presence': 'absent'}, {'acteurRef': 'PA720952', 'presence': 'présent'}, {'acteurRef': 'PA719550', 'presence': 'présent'}, {'acteurRef': 'PA720704', 'presence': 'excusé'}, {'acteurRef': 'PA606639', 'presence': 'absent'}, {'acteurRef': 'PA793194', 'presence': 'présent'}, {'acteurRef': 'PA795326', 'presence': 'présent'}, {'acteurRef': 'PA2960', 'presence': 'excusé'}, {'acteurRef': 'PA795046', 'presence': 'présent'}, {'acteurRef': 'PA796078', 'presence': 'excusé'}, {'acteurRef': 'PA793860', 'presence': 'présent'}]",CRCANR5L16S2023PO59047N022
RUANR5L16S2023IDC447738,,,,PO817720,"[{'acteurRef': 'PA793278', 'presence': 'absent'}, {'acteurRef': 'PA722046', 'presence': 'excusé'}, {'acteurRef': 'PA795508', 'presence': 'absent'}, {'acteurRef': 'PA793464', 'presence': 'absent'}, {'acteurRef': 'PA795200', 'presence': 'absent'}, {'acteurRef': 'PA721024', 'presence': 'présent'}, {'acteurRef': 'PA795958', 'presence': 'présent'}, {'acteurRef': 'PA795652', 'presence': 'absent'}, {'acteurRef': 'PA794130', 'presence': 'absent'}, {'acteurRef': 'PA721004', 'presence': 'excusé'}, {'acteurRef': 'PA721984', 'presence': 'absent'}, {'acteurRef': 'PA720446', 'presence': 'absent'}, {'acteurRef': 'PA793904', 'presence': 'absent'}, {'acteurRef': 'PA606098', 'presence': 'excusé'}, {'acteurRef': 'PA794810', 'presence': 'absent'}, {'acteurRef': 'PA720644', 'presence': 'absent'}, {'acteurRef': 'PA721270', 'presence': 'absent'}, {'acteurRef': 'PA793656', 'presence': 'absent'}, {'acteurRef': 'PA794994', 'presence': 'absent'}, {'acteurRef': 'PA793306', 'presence': 'absent'}, {'acteurRef': 'PA609590', 'presence': 'excusé'}, {'acteurRef': 'PA795410', 'presence': 'absent'}, {'acteurRef': 'PA796050', 'presence': 'absent'}, {'acteurRef': 'PA796018', 'presence': 'présent'}, {'acteurRef': 'PA794802', 'presence': 'excusé'}, {'acteurRef': 'PA736201', 'presence': 'absent'}, {'acteurRef': 'PA793298', 'presence': 'absent'}, {'acteurRef': 'PA608695', 'presence': 'absent'}, {'acteurRef': 'PA793860', 'presence': 'absent'}]",CRCANR5L16S2023PO817720N015
RUANR5L16S2023IDS26687,,,,PO791932,,CRSANR5L16S2023O1N116
RUANR5L16S2023IDC446503,,,,PO805639,,
