scrutin,Gauche démocrate et républicaine - NUPES,La France insoumise - Nouvelle Union Populaire écologique et sociale,Socialistes et apparentés (membre de l’intergroupe NUPES),Écologiste - NUPES,alignement,objet,type,date,motion_censure
VTANR5L16V37,pour,pour,pour,pour,True,l'amendement n° 127 de M. Vallaud et l'amendement identique suivant après l'article 4 du projet de loi portant mesures d'urgence pour la protection du pouvoir d'achat (première lecture).,scrutin public ordinaire,2022-07-20,False
VTANR5L16V36,contre,abstention,abstention,pour,False,l'article 4 du projet de loi portant mesures d'urgence pour la protection du pouvoir d'achat (première lecture).,scrutin public ordinaire,2022-07-20,False
VTANR5L16V77,pour,pour,pour,pour,True,l'amendement de suppression n° 23 de Mme Battistel et les amendements identiques suivants à l'article 19 du projet de loi portant mesures d'urgence pour la protection du pouvoir d'achat (première lecture).,scrutin public ordinaire,2022-07-21,False
VTANR5L16V78,contre,contre,contre,contre,True,l'article 19 du projet de loi portant mesures d'urgence pour la protection du pouvoir d'achat (première lecture).,scrutin public ordinaire,2022-07-21,False
VTANR5L16V79,pour,pour,pour,pour,True,l'amendement n° 1072 de M. Nilor après l'article 20 du projet de loi portant mesures d'urgence pour la protection du pouvoir d'achat (première lecture).,scrutin public ordinaire,2022-07-21,False
VTANR5L16V72,pour,pour,pour,pour,True,l'amendement de suppression n° 778 de Mme Laernoes et l'amendement identique suivant à l'article 16 du projet de loi portant mesures d'urgence pour la protection du pouvoir d'achat (première lecture).,scrutin public ordinaire,2022-07-21,False
VTANR5L16V75,contre,contre,contre,contre,True,l'amendement n° 424 de M. Bazin après l'article 18 du projet de loi portant mesures d'urgence pour la protection du pouvoir d'achat (première lecture).,scrutin public ordinaire,2022-07-21,False
VTANR5L16V81,contre,contre,abstention,contre,False,l'ensemble du projet de loi portant mesures d'urgence pour la protection du pouvoir d'achat (première lecture).,scrutin public solennel,2022-07-21,False
VTANR5L16V76,pour,pour,pour,pour,True,l'amendement n° 425 de M. Bazin après l'article 18 du projet de loi portant mesures d'urgence pour la protection du pouvoir d'achat (première lecture).,scrutin public ordinaire,2022-07-21,False
VTANR5L16V52,pour,pour,pour,pour,True,l'amendement n° 509 de M. Peu à l'article 6 du projet de loi portant mesures d'urgence pour la protection du pouvoir d'achat (première lecture).,scrutin public ordinaire,2022-07-21,False
VTANR5L16V80,pour,pour,pour,pour,True,l'amendement n° 907 de M. Nilor après l'article 20 du projet de loi portant mesures d'urgence pour la protection du pouvoir d'achat (première lecture).,scrutin public ordinaire,2022-07-21,False
VTANR5L16V66,abstention,contre,abstention,contre,False,l'article 13 du projet de loi portant mesures d'urgence pour la protection du pouvoir d'achat (première lecture).,scrutin public ordinaire,2022-07-21,False
VTANR5L16V68,abstention,pour,pour,pour,False,l'amendement n° 884 de Mme Chikirou à l'article 14 du projet de loi portant mesures d'urgence pour la protection du pouvoir d'achat (première lecture).,scrutin public ordinaire,2022-07-21,False
VTANR5L16V67,abstention,pour,pour,pour,False,l'amendement de suppression n° 213 de Mme Batho et les amendements identiques suivants à l'article 14 du projet de loi portant mesures d'urgence pour la protection du pouvoir d'achat (première lecture).,scrutin public ordinaire,2022-07-21,False
VTANR5L16V71,pour,contre,abstention,contre,False,l'article 15 du projet de loi portant mesures d'urgence pour la protection du pouvoir d'achat (première lecture).,scrutin public ordinaire,2022-07-21,False
VTANR5L16V65,pour,pour,pour,pour,True,l'amendement n° 216 de Mme Batho à l'article 13 du projet de loi portant mesures d'urgence pour la protection du pouvoir d'achat (première lecture).,scrutin public ordinaire,2022-07-21,False
VTANR5L16V64,abstention,pour,abstention,pour,False,l'amendement de suppression n° 212 de Mme Batho et les amendements identiques suivants à l'article 13 du projet de loi portant mesures d'urgence pour la protection du pouvoir d'achat (première lecture).,scrutin public ordinaire,2022-07-21,False
VTANR5L16V63,abstention,,pour,pour,False,l'amendement n° 214 de Mme Batho à l'article 10 du projet de loi portant mesures d'urgence pour la protection du pouvoir d'achat (première lecture).,scrutin public ordinaire,2022-07-21,False
