uid,objet,type,date,seance,sort,identiques,amendement,sous_amendement,cr,url_scrutin,url_seance
VTANR5L16V175,l'amendement n° 633 de M. Jean-Philippe Tanguy après l'article 10 du projet de loi de finances rectificative pour 2022 (première lecture).,scrutin public ordinaire,2022-07-26,RUANR5L16S2022IDS26216,rejeté,False,True,False,CRSANR5L16S2022E1N024,https://www2.assemblee-nationale.fr/scrutins/detail/(legislature)/16/(num)/175,https://www.assemblee-nationale.fr/dyn/16/comptes-rendus/seance/CRSANR5L16S2022E1N024
VTANR5L16V1541,l'amendement n° 537 de M. Meurin à l'article 13 de la proposition de loi visant à renforcer la prévention et la lutte contre l'intensification et l'extension du risque incendie (première lecture).,scrutin public ordinaire,2023-05-16,RUANR5L16S2023IDS27060,rejeté,False,True,False,CRSANR5L16S2023O1N235,https://www2.assemblee-nationale.fr/scrutins/detail/(legislature)/16/(num)/1541,https://www.assemblee-nationale.fr/dyn/16/comptes-rendus/seance/CRSANR5L16S2023O1N235
VTANR5L16V684,l'amendement n° 1533 (rect.) de M. Meurin à l'article 1er F du projet de loi relatif à l'accélération de la production d'énergies renouvelables (première lecture).,scrutin public ordinaire,2022-12-07,RUANR5L16S2023IDS26601,rejeté,False,True,False,CRSANR5L16S2023O1N087,https://www2.assemblee-nationale.fr/scrutins/detail/(legislature)/16/(num)/684,https://www.assemblee-nationale.fr/dyn/16/comptes-rendus/seance/CRSANR5L16S2023O1N087
VTANR5L16V440,l'amendement n° 1448 de M. Ballard à l'article 27 et État B de la seconde partie du projet de loi de finances pour 2023 (première lecture) - Mission Culture.,scrutin public ordinaire,2022-10-28,RUANR5L16S2023IDS26421,rejeté,False,True,False,CRSANR5L16S2023O1N039,https://www2.assemblee-nationale.fr/scrutins/detail/(legislature)/16/(num)/440,https://www.assemblee-nationale.fr/dyn/16/comptes-rendus/seance/CRSANR5L16S2023O1N039
VTANR5L16V643,l'amendement n° 56 de M. Pfeffer après l'article 5 de la proposition de loi visant à protéger les logements contre l'occupation illicite (première lecture).,scrutin public ordinaire,2022-11-29,RUANR5L16S2023IDS26559,rejeté,False,True,False,CRSANR5L16S2023O1N073,https://www2.assemblee-nationale.fr/scrutins/detail/(legislature)/16/(num)/643,https://www.assemblee-nationale.fr/dyn/16/comptes-rendus/seance/CRSANR5L16S2023O1N073
VTANR5L16V298,l'amendement n° 551 de M. Lottiaux après l'article 3 du projet de loi de finances pour 2023 (première lecture).,scrutin public ordinaire,2022-10-14,RUANR5L16S2023IDS26395,rejeté,False,True,False,CRSANR5L16S2023O1N019,https://www2.assemblee-nationale.fr/scrutins/detail/(legislature)/16/(num)/298,https://www.assemblee-nationale.fr/dyn/16/comptes-rendus/seance/CRSANR5L16S2023O1N019
VTANR5L16V285,l'amendement n° 3402 (rect.) de M. Buisson après l'article 3 du projet de loi de finances pour 2023 (première lecture).,scrutin public ordinaire,2022-10-13,RUANR5L16S2023IDS26393,rejeté,False,True,False,CRSANR5L16S2023O1N017,https://www2.assemblee-nationale.fr/scrutins/detail/(legislature)/16/(num)/285,https://www.assemblee-nationale.fr/dyn/16/comptes-rendus/seance/CRSANR5L16S2023O1N017
VTANR5L16V1437,l'amendement n° 992 de Mme Colombier après l'article 3 de la proposition de loi portant mesures pour bâtir la société du bien vieillir en France (première lecture).,scrutin public ordinaire,2023-04-13,RUANR5L16S2023IDS27002,rejeté,False,True,False,CRSANR5L16S2023O1N215,https://www2.assemblee-nationale.fr/scrutins/detail/(legislature)/16/(num)/1437,https://www.assemblee-nationale.fr/dyn/16/comptes-rendus/seance/CRSANR5L16S2023O1N215
VTANR5L16V884,"l'amendement de suppression n° 78 de M. Villedieu à l'article 26 du projet de loi portant diverses dispositions d'adaptation au droit de l'Union européenne dans les domaines de l'économie, de la santé, du travail, des transports et de l'agriculture (première lecture).",scrutin public ordinaire,2023-01-24,RUANR5L16S2023IDS26738,rejeté,False,True,False,CRSANR5L16S2023O1N126,https://www2.assemblee-nationale.fr/scrutins/detail/(legislature)/16/(num)/884,https://www.assemblee-nationale.fr/dyn/16/comptes-rendus/seance/CRSANR5L16S2023O1N126
VTANR5L16V1640,l'amendement n° 331 de M. Jacobelli à l'article 2 et rapport annexé du projet de loi relatif à la programmation militaire pour les années 2024 à 2030 et portant diverses dispositions intéressant la défense (première lecture).,scrutin public ordinaire,2023-05-25,RUANR5L16S2023IDS27075,rejeté,False,True,False,CRSANR5L16S2023O1N246,https://www2.assemblee-nationale.fr/scrutins/detail/(legislature)/16/(num)/1640,https://www.assemblee-nationale.fr/dyn/16/comptes-rendus/seance/CRSANR5L16S2023O1N246
