acteurRef,mandatRef,parDelegation,position,organe,date,scrutin,groupe_majorite,nom,prenom,civ,libelleAbrev
PA1874,PM796383,False,pour,PO800508,2022-10-13,VTANR5L16V285,pour,Le Fur,Marc,M.,LR
PA330008,PM796158,False,pour,PO800508,2022-10-13,VTANR5L16V285,pour,Breton,Xavier,M.,LR
PA332523,PM796683,False,pour,PO800508,2022-10-13,VTANR5L16V285,pour,Dalloz,Marie-Christine,Mme,LR
PA608016,PM797100,False,pour,PO800508,2022-10-13,VTANR5L16V285,pour,Louwagie,Véronique,Mme,LR
PA794914,PM797190,False,pour,PO800508,2022-10-13,VTANR5L16V285,pour,Vincendet,Alexandre,M.,LR
PA719138,PM796356,False,pour,PO800532,2022-10-13,VTANR5L16V285,pour,Castellani,Michel,M.,LIOT
PA719146,PM796359,False,pour,PO800532,2022-10-13,VTANR5L16V285,pour,Acquaviva,Jean-Félix,M.,LIOT
PA720976,PM797667,False,pour,PO800532,2022-10-13,VTANR5L16V285,pour,Mathiasin,Max,M.,LIOT
PA795244,PM797379,False,pour,PO800532,2022-10-13,VTANR5L16V285,pour,Lenormand,Stéphane,M.,LIOT
PA719608,PM796593,False,pour,PO793087,2022-10-13,VTANR5L16V285,pour,Ménard,Emmanuelle,Mme,NI
PA330008,PM796158,False,pour,PO800508,2023-04-13,VTANR5L16V1437,pour,Breton,Xavier,M.,LR
PA330240,PM796155,False,pour,PO800508,2023-01-24,VTANR5L16V884,pour,Ciotti,Éric,M.,LR
PA267429,PM796722,False,pour,PO800508,2023-01-24,VTANR5L16V884,pour,Cinieri,Dino,M.,LR
PA607090,PM796761,False,pour,PO800508,2023-01-24,VTANR5L16V884,pour,Vigier,Jean-Pierre,M.,LR
PA608016,PM797100,False,pour,PO800508,2023-01-24,VTANR5L16V884,pour,Louwagie,Véronique,Mme,LR
PA720630,PM797094,False,pour,PO800508,2023-01-24,VTANR5L16V884,pour,Minot,Maxime,M.,LR
PA793094,PM796140,False,pour,PO800508,2023-01-24,VTANR5L16V884,pour,Ray,Nicolas,M.,LR
PA793476,PM796344,False,pour,PO800508,2023-01-24,VTANR5L16V884,pour,Dubois,Francis,M.,LR
PA330909,PM796314,False,pour,PO800508,2023-01-24,VTANR5L16V884,pour,Descoeur,Vincent,M.,LR
PA342240,PM796707,False,pour,PO800508,2023-01-24,VTANR5L16V884,pour,Bourgeaux,Jean-Luc,M.,LR
