acteurRef,axe 1,axe 2,organe,nom,prenom,civ,libelleAbrev,couleurAssociee
PA794038,1.1087524158485247,3.5598642726255147,PO800508,Neuder,Yannick,M.,LR,#4565AD
PA794058,3.3238328703142592,4.459460557383284,PO800508,Gruet,Justine,Mme,LR,#4565AD
PA794066,-16.972428505223597,-8.014038220097028,PO800490,Mathieu,Frédéric,M.,LFI-NUPES,#E42313
PA794082,-20.594219219317125,-9.701433591143424,PO800490,Hignet,Mathilde,Mme,LFI-NUPES,#E42313
PA794094,-14.864511320022327,-6.761759568736076,PO800496,Bouloux,Mickaël,M.,SOC,#DF84B5
PA794106,-19.636543078895393,-9.969103802379136,PO800490,Taurinya,Andrée,Mme,LFI-NUPES,#E42313
PA794114,11.996160116978649,0.02937067500423829,PO800484,Mandon,Emmanuel,M.,DEM,#CE5215
PA794118,-2.474160135438917,0.8785332623019109,PO800508,Vermorel-Marques,Antoine,M.,LR,#4565AD
PA794130,-17.78591854360705,-8.377228192382912,PO800490,Kerbrat,Andy,M.,LFI-NUPES,#E42313
PA794138,-24.060258971709082,-11.306395249178465,PO800490,Amiot,Ségolène,Mme,LFI-NUPES,#E42313
PA794146,-15.196662870353336,-9.325277674458627,PO800526,Laernoes,Julie,Mme,ECOLO,#77AA79
PA794154,-17.6275031796592,-11.209997529794148,PO800526,Raux,Jean-Claude,M.,ECOLO,#77AA79
PA794166,-16.800098066969255,-8.631511073230858,PO800490,Tavel,Matthias,M.,LFI-NUPES,#E42313
PA794178,1.9635623537391378,3.609634105193334,PO800508,Taite,Jean-Pierre,M.,LR,#4565AD
PA794194,12.396832664380915,-1.9174121801338122,PO800484,Desjonquères,Mathilde,Mme,DEM,#CE5215
PA794198,-10.859702263094942,16.62482865947675,PO800520,Chudeau,Roger,M.,RN,#35495E
PA794206,19.66562879643455,-3.0600858432047144,PO800538,Marion,Christophe,M.,RE,#61468F
PA794214,12.894696753984395,-0.9921725863845057,PO800538,Bataillon,Quentin,M.,RE,#61468F
PA794222,-10.51182002139631,13.256341346517477,PO800520,Cousin,Annick,Mme,RN,#35495E
PA794234,13.511110722891178,-2.467642629883341,PO800514,Gernigon,François,M.,HOR,#32B3CA
PA794270,-12.208451815327122,-6.975123635610769,PO800496,Pic,Anna,Mme,SOC,#DF84B5
PA794278,11.722830678677065,-0.04132736566074334,PO800514,Albertini,Xavier,M.,HOR,#32B3CA
PA794286,-9.378043816681767,8.556258130175088,PO800520,Frigout,Anne-Sophie,Mme,RN,#35495E
PA794314,-12.245429692578579,15.38429799677794,PO800520,Paris,Mathilde,Mme,RN,#35495E
PA794322,-10.023203921092616,14.705675794668648,PO800520,Ménagé,Thomas,M.,RN,#35495E
PA794330,21.82067431140736,-5.2133310046106995,PO800538,Brosse,Anthony,M.,RE,#61468F
PA794354,-8.12486413615832,7.365144651357957,PO800520,Laporte,Hélène,Mme,RN,#35495E
PA794386,16.64780644169682,-0.7446997638468001,PO800538,Métayer,Lysiane,Mme,RE,#61468F
PA794402,-21.65670022732268,-10.661674155037534,PO800490,Leduc,Charlotte,Mme,LFI-NUPES,#E42313
PA794410,-2.1926898592720905,3.308856351814987,PO800508,Seitlinger,Vincent,M.,LR,#4565AD
PA794418,-10.342444633470903,14.618739665908505,PO800520,Goulet,Florence,Mme,RN,#35495E
PA794426,17.692773337933744,-1.856369636052246,PO800514,Le Hénanff,Anne,Mme,HOR,#32B3CA
PA794434,-12.703021449803549,20.032829308923006,PO800520,Bentz,Christophe,M.,RN,#35495E
