acteurRef,scrutin,nom,libelleAbrev
PA793322,2,D'Intorni,LR
PA795184,2,Le Gayic,GDR-NUPES
PA795120,2,Ferrari,DEM
PA795058,2,Bayou,ECOLO
PA795050,2,Panosyan-Bouvet,RE
PA795026,2,Violland,HOR
PA795266,2,Carel,HOR
PA795508,2,Chandler,RE
PA794470,2,Gérard,HOR
PA794146,2,Laernoes,ECOLO
PA266808,2,Rolland,LR
PA795730,2,Marchive,RE
PA793780,2,Arrighi,ECOLO
PA793716,2,Croizier,DEM
PA793708,2,Peytavie,ECOLO
PA793624,2,Brun,SOC
PA793588,2,Pacquot,RE
PA1630,2,Herbillon,LR
PA793520,2,Cosson,DEM
PA793416,2,Sertin,RE
PA794004,2,Hugues,RE
PA267794,2,Tabarot,LR
PA719118,2,Cormier-Bouligeon,RE
PA720696,2,Descamps,LIOT
PA605991,2,Genevard,LR
PA720772,2,Bru,DEM
PA719918,2,Lainé,DEM
PA605745,2,Sansu,GDR-NUPES
PA342415,2,Battistel,SOC
PA719778,2,Jolivet,HOR
PA719138,2,Castellani,LIOT
PA720038,2,Josso,DEM
PA719382,2,Lamirault,HOR
PA719396,2,Larsonneur,HOR
PA720960,2,Serva,LIOT
PA720092,2,Ramos,DEM
PA677483,2,Mazars,RE
PA643175,2,Dupont,RE
PA344201,2,Petit,SOC
PA643157,2,Naillet,SOC
PA720992,2,William,GDR-NUPES
PA719600,2,Poulliat,RE
PA719558,2,Balanant,DEM
PA719266,2,Cubertafon,DEM
PA719032,2,Bouyx,RE
PA720190,2,Sorre,RE
PA608172,2,Pires Beaune,SOC
PA719052,2,Kervran,HOR
PA642695,2,Bothorel,RE
PA719512,2,Vignon,RE
PA718710,2,Boyer,RE
PA794878,1,Mournet,RE
PA794982,1,Delpech,RE
PA721314,1,Schellenberger,LR
PA794854,1,Echaniz,SOC
PA794846,1,Goetschy-Bolognese,RE
PA794838,1,Lemaire,HOR
PA794830,1,Ott,DEM
PA794818,1,Kochert,HOR
PA794802,1,Sitzenstuhl,RE
PA794778,1,Regol,ECOLO
PA794494,1,Vicot,SOC
PA719412,1,Le Feur,RE
PA794458,1,Etienne,LFI-NUPES
PA794426,1,Le Hénanff,HOR
PA2449,1,Pont,RE
PA794386,1,Métayer,RE
